lemma,score
erreichbarkeit,1
versorgungsqualität,1
verkehrsintegration,1
kosten,1
verfügbarkeit,1
verkehrsmittel,1
infrastruktur,1
räumlich zentralität,1
erreichbarkeitsgerechtigkeit,1
mobilitätsbudget,1
verkehrsnetz,1
accessibilité,1
desserte,1
transport,1
coût,1
disponibilité,1
infrastructure,1
centralité,1
inégalité,1
accès,1
mobilité,1
réseau,1
bewegungsfähigkeit,1
mobilitätskapital,1
mobilitätshabitus,1
bewegungsautonomie,1
mobilitätslernen,1
mobilitätsstrategie,1
orientierungskompetenz,1
raumvorstellung,1
mobilitätsmotivation,1
mobilitäts,1
aptitude,1
capital,1
habitus,1
autonomie,1
apprentissage,1
stratégie,1
compétence,1
orientation,1
déplacement,1
espace,1
minute,1
stunden,1
dauern,1
geschwindigkeit,1
schnelligkeit,1
pünktlichkeit,1
verspätung,1
kilometer,1
verlangsamung,1
taktfrequenz,1
minute,1
heure,1
durée,1
vitesse,1
rapidité,1
ponctualité,1
retard,1
kilomètre,1
ralentissement,1
cadence,1
wartezeit,1
fahrstress,1
komfort,1
erfahrung,1
wahrnehmung,1
angenehm,1
fahrgastzufriedenheit,1
zeitnutzung,1
bewertet zeit,1
leben,1
zeit,1
wohlfühlmobilität,1
attente,1
stress,1
confort,1
expérience,1
ressentir,1
agréable,1
satisfaction,1
usager,1
temps,1
réappropriable,1
valoriser,1
vivre,1
bien-être,1
Adaptionsfähigkeit,1
Adaptionsstrategie im Raum,1
Alltagsmobilität,1
Anpassungsfähigkeit im Raum,1
Ausstattung mit Fahrzeugen,1
Autonomie im Raum,1
Berufliche Mobilität,1
Bewegung,1
Bewegungsangst,1
Bewegungsautonomie,1
Bewegungsbedürfnis,1
Bewegungsdisposition,1
Bewegungsdrang,1
Bewegungseinstellung,1
Bewegungserfahrung,1
Bewegungsfreude,1
Bewegungsfähigkeit,1
Bewegungsgewohnheit,1
Bewegungskapital,1
Bewegungsspielraum,1
Bildungsmobilität,1
Digitale Mobilität,1
Distanz-Toleranz,1
Eigenständige Fortbewegung,1
Einstellung zum Verkehr,1
Einzugsgebiet,1
Entdeckerdrang,1
Erreichbarkeit,1
Erreichbarkeitsgerechtigkeit,1
Erschließungsgrad,1
Explorationsneigung,1
Fahrzeugzugang,1
Fortbewegung,1
Fortbewegungskompetenz,1
Fähigkeit zur Bewegung,1
Handlungskompetenz Mobilität,1
Infrastrukturverfügbarkeit,1
Intergenerationelle Mobilität,1
Komfortorientierung,1
Konnektivität,1
Kosten des Zugangs zu Verkehrsmitteln,1
Kulturelle Bedeutung der Bewegung,1
Latente Mobilität,1
Lernprozess Mobilität,1
Mobilität,1
Mobilitätsangst,1
Mobilitätsanomie,1
Mobilitätsautonomie,1
Mobilitätsbudget,1
Mobilitätsdisposition,1
Mobilitätsdispositiv,1
Mobilitätsdispositiv,1
Mobilitätseinstellung,1
Mobilitätserfahrung,1
Mobilitätserziehung,1
Mobilitätsfähigkeit,1
Mobilitätsgerechtigkeit,1
Mobilitätsgewohnheit,1
Mobilitätshabitus,1
Mobilitätshaltung,1
Mobilitätsintegration,1
Mobilitätskapital,1
Mobilitätskompetenz,1
Mobilitätskosten,1
Mobilitätskultur,1
Mobilitätslernen,1
Mobilitätsmotivation,1
Mobilitätsnormen,1
Mobilitätspotenzial,1
Mobilitätspraktiken,1
Mobilitätsregime,1
Mobilitätsressource,1
Mobilitätsressourcen,1
Mobilitätsstrategie,1
Mobilitätswunsch,1
Motilität,1
Motivation zur Bewegung,1
Navigationsfähigkeit,1
Orientierungsangst,1
Orientierungskompetenz,1
Orientierungslernen,1
Orientierungsvermögen,1
Ortsbindung,1
Potenzielle Mobilität,1
Raumaneignung,1
Raumbezogener Habitus,1
Raumgewohnheit,1
Raumorientierung,1
Raumzeitliche Reichweite,1
Raumzugang,1
Reisekultur,1
Reiselust,1
Reisewunsch,1
Risikowahrnehmung Mobilität,1
Räumliche Anpassung,1
Räumliche Einbettung,1
Räumliche Flexibilität,1
Räumliche Identität,1
Räumliche Kompetenz,1
Räumliche Mobilität,1
Räumliche Nähe,1
Räumliche Reichweite,1
Räumliche Segregation,1
Räumliche Selbstbestimmung,1
Räumliche Tragweite,1
Räumliche Zentralität,1
Räumliches Kapital,1
Räumliches Lernen,1
Räumliches Potenzial,1
Räumliches Verhalten,1
Räumliches Vorstellungsvermögen,1
Räumliches Zugehörigkeitsgefühl,1
Raumreichweite,1
Selbstständigkeit im Verkehr,1
Soziale Mobilität,1
Soziale Raumproduktion,1
Symbolischer Wert der Mobilität,1
Telemobilität,1
Telemobilität,1
Fernarbeit,1
Telepräsenz,1
Transportautonomie,1
Transportdisposition,1
Transporterfahrung,1
Transportfähigkeit,1
Transportressource,1
Urbane Literalität,1
Verkehrsangst,1
Verkehrsgewohnheit,1
Verkehrsinfrastrukturzugang,1
Verkehrsintegration,1
Verkehrskapital,1
Verkehrskompetenz,1
Verkehrskultur,1
Verkehrsstrategie,1
Verkehrsverhalten,1
Verkehrszugang,1
Verwurzelung,1
Virtuelle Mobilität,1
Wert der Bewegung,1
Wert des Reisens,1
Zeitbudget für Mobilität,1
Zeitbudget Mobilität,1
Zugang zu Verkehrsmitteln,1
Ökonomischer Faktor Mobilität,1
aptitude mobilité,1
aptitude déplacement,1
aptitude trajet,1
aptitude mouvement,1
aptitude transport,1
aptitude circulation,1
aptitude spatial,1
autonomie mobilité,1
autonomie déplacement,1
autonomie trajet,1
autonomie mouvement,1
autonomie transport,1
autonomie circulation,1
habitude mobilité,1
habitude déplacement,1
habitude trajet,1
habitude mouvement,1
habitude transport,1
habitude circulation,1
capital mobilité,1
capital déplacement,1
capital trajet,1
capital mouvement,1
capital transport,1
capital circulation,1
expérience mobilité,1
expérience déplacement,1
expérience trajet,1
expérience mouvement,1
expérience transport,1
expérience circulation,1
savoir circulatoire,1
représentation spatial,1
représentation espace,1
orientation spatial,1
aptitude orientation,1
capacité orientation,1
maîtriser orientation,1
maîtriser transport,1
adaptation spatial,1
littératie urbain,1
apprentissage mobilité,1
apprentissage déplacement,1
apprentissage trajet,1
apprentissage mouvement,1
apprentissage transport,1
apprentissage circulation,1
stratégie mobilité,1
stratégie déplacement,1
stratégie trajet,1
stratégie mouvement,1
stratégie transport,1
stratégie circulation,1
souplesse comportemental,1
ressource transport,1
ressource mobilité,1
ressource déplacement,1
ressource trajet,1
ressource mouvement,1
ressource circulation,1
disponibilité mobilité,1
disponibilité déplacement,1
disponibilité trajet,1
disponibilité mouvement,1
disponibilité transport,1
disponibilité circulation,1
équipement véhicule,1
accès véhicule,1
capacité véhicule,1
budget temps,1
budget mobilité,1
budget déplacement,1
budget trajet,1
budget mouvement,1
budget transport,1
budget circulation,1
facteur économique mobilité,1
facteur économique déplacement,1
coût accès véhicule,1
coût accès transport,1
inégalité accès,1
accessibilité,1
mobilité contraint,1
déplacement contraindre,1
trajet contraindre,1
mouvement contraindre,1
transport contraindre,1
mobilité choisir,1
déplacement choisir,1
trajet choisir,1
mouvement choisir,1
transport choisir,1
pouvoir mobilité,1
pouvoir déplacement,1
pouvoir trajet,1
pouvoir mouvement,1
pouvoir transport,1
pouvoir circulation,1
proximité service,1
proximité transport,1
intégration transport,1
intégration mobilité,1
centralité spatial,1
enclavement,1
mobilité potentiel,1
déplacement potentiel,1
trajet potentiel,1
mouvement potentiel,1
transport potentiel,1
mobilité latent,1
déplacement latent,1
trajet latent,1
mouvement latent,1
transport latent,1
porter spatial,1
mobilité professionnel,1
déplacement professionnel,1
trajet professionnel,1
mobilité éducatif,1
déplacement éducatif,1
trajet éducatif,1
mobilité social,1
déplacement social,1
trajet social,1
disposition mobilité,1
disposition déplacement,1
disposition trajet,1
disposition mouvement,1
disposition transport,1
valeur symbolique mobilité,1
valeur symbolique déplacement,1
valeur symbolique trajet,1
valeur symbolique mouvement,1
valeur symbolique transport,1
valeur symbolique circulation,1
norme mobilité,1
norme déplacement,1
norme trajet,1
norme mouvement,1
norme transport,1
norme circulation,1
identité mobile,1
ancrage identitaire,1
mobilité quotidien,1
déplacement quotidien,1
trajet quotidien,1
mouvement quotidien,1
transport quotidien,1
mobilité intergénérationnel,1
déplacement intergénérationnel,1
trajet intergénérationnel,1
mobilité numérique,1
déplacement numérique,1
transport numérique,1
application transport,1
application mobilité,1
compétence numérique navigation,1
capacité télé-substitution,1
capacité télétravail,1
capacité substitution,1
propension explorer,1
capacité explorer,1
attitude mobilité,1
attitude déplacement,1
attitude trajet,1
attitude mouvement,1
attitude transport,1
préférence spatial,1
préférence modal,1
tolérance distance,1
confort mobilité,1
confort déplacement,1
confort trajet,1
confort mouvement,1
confort transport,1
