list,lemma,count
lemmesMotiliteDE,Adaptionsfähigkeit,0
lemmesMotiliteDE,Alltagsmobilität,1
lemmesMotiliteDE,Bewegung,28
lemmesMotiliteDE,Bewegungsangst,0
lemmesMotiliteDE,Bewegungsautonomie,0
lemmesMotiliteDE,Bewegungsbedürfnis,0
lemmesMotiliteDE,Bewegungsdisposition,0
lemmesMotiliteDE,Bewegungsdrang,0
lemmesMotiliteDE,Bewegungseinstellung,0
lemmesMotiliteDE,Bewegungserfahrung,0
lemmesMotiliteDE,Bewegungsfreude,0
lemmesMotiliteDE,Bewegungsfähigkeit,0
lemmesMotiliteDE,Bewegungsgewohnheit,0
lemmesMotiliteDE,Bewegungskapital,0
lemmesMotiliteDE,Bewegungsspielraum,0
lemmesMotiliteDE,Bildungsmobilität,0
lemmesMotiliteDE,Distanz-Toleranz,0
lemmesMotiliteDE,Einzugsgebiet,127
lemmesMotiliteDE,Entdeckerdrang,0
lemmesMotiliteDE,Erreichbarkeit,230
lemmesMotiliteDE,Erreichbarkeitsgerechtigkeit,0
lemmesMotiliteDE,Erschließungsgrad,0
lemmesMotiliteDE,Explorationsneigung,0
lemmesMotiliteDE,Fahrzeugzugang,0
lemmesMotiliteDE,Fortbewegung,7
lemmesMotiliteDE,Fortbewegungskompetenz,0
lemmesMotiliteDE,Infrastrukturverfügbarkeit,0
lemmesMotiliteDE,Komfortorientierung,0
lemmesMotiliteDE,Konnektivität,0
lemmesMotiliteDE,Mobilität,380
lemmesMotiliteDE,Mobilitätsangst,0
lemmesMotiliteDE,Mobilitätsanomie,0
lemmesMotiliteDE,Mobilitätsautonomie,0
lemmesMotiliteDE,Mobilitätsbudget,0
lemmesMotiliteDE,Mobilitätsdisposition,0
lemmesMotiliteDE,Mobilitätsdispositiv,0
lemmesMotiliteDE,Mobilitätsdispositiv,0
lemmesMotiliteDE,Mobilitätseinstellung,0
lemmesMotiliteDE,Mobilitätserfahrung,0
lemmesMotiliteDE,Mobilitätserziehung,0
lemmesMotiliteDE,Mobilitätsfähigkeit,0
lemmesMotiliteDE,Mobilitätsgerechtigkeit,0
lemmesMotiliteDE,Mobilitätsgewohnheit,0
lemmesMotiliteDE,Mobilitätshabitus,0
lemmesMotiliteDE,Mobilitätshaltung,0
lemmesMotiliteDE,Mobilitätsintegration,0
lemmesMotiliteDE,Mobilitätskapital,0
lemmesMotiliteDE,Mobilitätskompetenz,0
lemmesMotiliteDE,Mobilitätskosten,2
lemmesMotiliteDE,Mobilitätskultur,1
lemmesMotiliteDE,Mobilitätslernen,0
lemmesMotiliteDE,Mobilitätsmotivation,0
lemmesMotiliteDE,Mobilitätsnormen,0
lemmesMotiliteDE,Mobilitätspotenzial,0
lemmesMotiliteDE,Mobilitätspraktiken,0
lemmesMotiliteDE,Mobilitätsregime,0
lemmesMotiliteDE,Mobilitätsressource,0
lemmesMotiliteDE,Mobilitätsressourcen,0
lemmesMotiliteDE,Mobilitätsstrategie,10
lemmesMotiliteDE,Mobilitätswunsch,0
lemmesMotiliteDE,Motilität,0
lemmesMotiliteDE,Navigationsfähigkeit,0
lemmesMotiliteDE,Orientierungsangst,0
lemmesMotiliteDE,Orientierungskompetenz,0
lemmesMotiliteDE,Orientierungslernen,0
lemmesMotiliteDE,Orientierungsvermögen,0
lemmesMotiliteDE,Ortsbindung,0
lemmesMotiliteDE,Raumaneignung,0
lemmesMotiliteDE,Raumgewohnheit,0
lemmesMotiliteDE,Raumorientierung,0
lemmesMotiliteDE,Raumzugang,0
lemmesMotiliteDE,Reisekultur,0
lemmesMotiliteDE,Reiselust,0
lemmesMotiliteDE,Reisewunsch,0
lemmesMotiliteDE,Raumreichweite,0
lemmesMotiliteDE,Telemobilität,0
lemmesMotiliteDE,Telemobilität,0
lemmesMotiliteDE,Fernarbeit,0
lemmesMotiliteDE,Telepräsenz,0
lemmesMotiliteDE,Transportautonomie,0
lemmesMotiliteDE,Transportdisposition,0
lemmesMotiliteDE,Transporterfahrung,0
lemmesMotiliteDE,Transportfähigkeit,0
lemmesMotiliteDE,Transportressource,0
lemmesMotiliteDE,Verkehrsangst,0
lemmesMotiliteDE,Verkehrsgewohnheit,0
lemmesMotiliteDE,Verkehrsinfrastrukturzugang,0
lemmesMotiliteDE,Verkehrsintegration,0
lemmesMotiliteDE,Verkehrskapital,0
lemmesMotiliteDE,Verkehrskompetenz,0
lemmesMotiliteDE,Verkehrskultur,0
lemmesMotiliteDE,Verkehrsstrategie,2
lemmesMotiliteDE,Verkehrsverhalten,2
lemmesMotiliteDE,Verkehrszugang,0
lemmesMotiliteDE,Verwurzelung,1
lemmesMotiliteDE,Adaptionsstrategie im Raum,0
lemmesMotiliteDE,Anpassungsfähigkeit im Raum,0
lemmesMotiliteDE,Ausstattung mit Fahrzeugen,0
lemmesMotiliteDE,Autonomie im Raum,0
lemmesMotiliteDE,Berufliche Mobilität,0
lemmesMotiliteDE,Digitale Mobilität,0
lemmesMotiliteDE,Eigenständige Fortbewegung,0
lemmesMotiliteDE,Einstellung zum Verkehr,0
lemmesMotiliteDE,Fähigkeit zur Bewegung,0
lemmesMotiliteDE,Handlungskompetenz Mobilität,0
lemmesMotiliteDE,Intergenerationelle Mobilität,0
lemmesMotiliteDE,Kosten des Zugangs zu Verkehrsmitteln,0
lemmesMotiliteDE,Kulturelle Bedeutung der Bewegung,0
lemmesMotiliteDE,Latente Mobilität,0
lemmesMotiliteDE,Lernprozess Mobilität,0
lemmesMotiliteDE,Motivation zur Bewegung,0
lemmesMotiliteDE,Potenzielle Mobilität,0
lemmesMotiliteDE,Raumbezogener Habitus,0
lemmesMotiliteDE,Raumzeitliche Reichweite,0
lemmesMotiliteDE,Risikowahrnehmung Mobilität,0
lemmesMotiliteDE,Räumliche Anpassung,0
lemmesMotiliteDE,Räumliche Einbettung,0
lemmesMotiliteDE,Räumliche Flexibilität,0
lemmesMotiliteDE,Räumliche Identität,0
lemmesMotiliteDE,Räumliche Kompetenz,0
lemmesMotiliteDE,Räumliche Mobilität,0
lemmesMotiliteDE,Räumliche Nähe,0
lemmesMotiliteDE,Räumliche Reichweite,0
lemmesMotiliteDE,Räumliche Segregation,0
lemmesMotiliteDE,Räumliche Selbstbestimmung,0
lemmesMotiliteDE,Räumliche Tragweite,0
lemmesMotiliteDE,Räumliche Zentralität,0
lemmesMotiliteDE,Räumliches Kapital,0
lemmesMotiliteDE,Räumliches Lernen,0
lemmesMotiliteDE,Räumliches Potenzial,0
lemmesMotiliteDE,Räumliches Verhalten,0
lemmesMotiliteDE,Räumliches Vorstellungsvermögen,0
lemmesMotiliteDE,Räumliches Zugehörigkeitsgefühl,0
lemmesMotiliteDE,Selbstständigkeit im Verkehr,0
lemmesMotiliteDE,Soziale Mobilität,5
lemmesMotiliteDE,Soziale Raumproduktion,0
lemmesMotiliteDE,Symbolischer Wert der Mobilität,0
lemmesMotiliteDE,Urbane Literalität,0
lemmesMotiliteDE,Virtuelle Mobilität,0
lemmesMotiliteDE,Wert der Bewegung,0
