lemma,before,hit,after,list
Alltagsmobilität,Realisierung des Netzes sowie bei technischen Vorgaben zu berücksichtigen . Ziele und Leitsätze Zielsetzung Der Anteil des Veloverkehrs an der,Alltagsmobilität,soll im Kanton Graubünden erhöht werden . Die Benutzung des Alltags- und Freizeitangebots für Velos und Mountainbikes wird gefördert und,lemmesMotiliteDE
Bewegung,"und der Gewässer als Lebensraum für Fauna und Flora , als Erholungsraum für den Menschen ( Aufenthalt , Naturerleben und",Bewegung,) sowie als Wirtschaftsfaktor ( Landwirtschaft ) aufeinander abzustimmen . Strategischer Entscheid Die Vernetzung der Landschaftsräume innerhalb von BaselStadt und,lemmesMotiliteDE
Bewegung,zu werden . Freiräume sind Begegnungsräume und somit Orte des Austausches und der Integration . Sie bieten die Möglichkeit zu,Bewegung,", Sport und Spiel und dienen der Ruhe und Erholung . Je nach Versiegelungsgrad sind Freiräume bedeutende Lebensräume für Flora",lemmesMotiliteDE
Bewegung,berücksichtigen veränderte Bedürfnisse bei der Neu- und Umgestaltung von öffentlichen Freiräumen . Die vielfältigen Freiraumangebote sollen die Bevölkerung zu mehr,Bewegung,"animieren und als Entlastungsräume bei Hitzeperioden dienen . Bei Arealentwicklungen , die zu Nutzungsverdichtungen führen , ist der Bedarf nach",lemmesMotiliteDE
Bewegung,"Planungen , die den öffentlichen Raum betreffen , der Nutzungsplanungen und bei allen sich bietenden Gelegenheiten ist die Förderung von",Bewegung,und Sport zu berücksichtigen . Ansprüche für Sport und niederschwellige Bewegung sind mit dem Bedürfnis nach Ruhezonen unter Beteiligung von,lemmesMotiliteDE
Bewegung,bei allen sich bietenden Gelegenheiten ist die Förderung von Bewegung und Sport zu berücksichtigen . Ansprüche für Sport und niederschwellige,Bewegung,sind mit dem Bedürfnis nach Ruhezonen unter Beteiligung von Interessengruppen gleichgewichtig zu berücksichtigen . Kanton Basel-Stadt | Kantonaler Richtplan |,lemmesMotiliteDE
Bewegung,"ist das Schul- und Betreuungsangebot auszubauen . Die Ansprüche an die Freiräume ( insbesondere Freiraumversorgung , Naturschutz , Sport und",Bewegung,", Schwammstadt , Stadtklima , Erschliessung , Schiff- Kanton Basel-Stadt | Kantonaler Richtplan | April 2025 S fahrt ) gilt",lemmesMotiliteDE
Bewegung,ein umfangreiches Angebot an Sport- und Freizeitanlagen auf . Die gesetzlichen Grundlagen für die Unterstützung sowie Förderung von Sport und,Bewegung,im Kanton sind im Sportgesetz des Kantons BaselStadt ( SG 371 . 100 ) festgehalten . Die Aufgabe des Kantons,lemmesMotiliteDE
Bewegung,Kantons BaselStadt ( SG 371 . 100 ) festgehalten . Die Aufgabe des Kantons ist die Förderung von Sport und,Bewegung,für die gesamte Bevölkerung sowie die Erstellung und den Betrieb von Sportund Bewegungsanlagen . Die Anlagen von kantonaler Bedeutung sind,lemmesMotiliteDE
Bewegung,die Leistungssportförderung . S Zielsetzungen Alle Einwohnerinnen und Einwohner des Kantons BaselStadt haben ein Leben lang Zugang zu Sport und,Bewegung,. Angebote und Anlagen vermitteln den Einwohnerinnen und Einwohnern Freude und Lust an Sport und Bewegung . Trends und Anforderungen,lemmesMotiliteDE
Bewegung,Zugang zu Sport und Bewegung . Angebote und Anlagen vermitteln den Einwohnerinnen und Einwohnern Freude und Lust an Sport und,Bewegung,. Trends und Anforderungen aus dem ungebundenen Sport finden Eingang in das Raum- und Infrastrukturangebot der Stadt Basel und des,lemmesMotiliteDE
Bewegung,"Riehen hat ebenfalls ein Sportanlagenkonzept erstellt , mit denen die Sportanlagen an die Bedürfnisse der unterschiedlichen Anspruchsgruppen aus Sport und",Bewegung,"angepasst werden und damit für den organisierten Sport , den Leistungssport wie auch für den ungebundenen Sport bessere Bedingungen schaffen",lemmesMotiliteDE
Bewegung,. D . E . Bei Arealentwicklungen in der Stadt Basel soll ein optimaler Versorgungsgrad an Flächen für Sport und,Bewegung,"gemäss Sportanlagenkonzept Basel erreicht werden , um die Bedürfnisse von Bewegung und Sport frühzeitig in den Planungen berücksichtigen zu können",lemmesMotiliteDE
Bewegung,"soll ein optimaler Versorgungsgrad an Flächen für Sport und Bewegung gemäss Sportanlagenkonzept Basel erreicht werden , um die Bedürfnisse von",Bewegung,und Sport frühzeitig in den Planungen berücksichtigen zu können . Dazu dienen situative Beurteilungen oder zukünftig auch die Verwendung von,lemmesMotiliteDE
Bewegung,handelt sind bauliche Rückhaltemassnahmen oft nicht möglich . Ziel ist eine gezielte Entwässerung der Hangabschnitte . Über eine Überwachung der,Bewegungen,im Hang können frühzeitig organisatorische Massnahmen ergriffen werden . Im Rahmen der Aufsichtspflicht werden Baubegehren beurteilt . Bauten und Anlagen,lemmesMotiliteDE
Bewegung,"Naturgefahr Rutschung c1 ) Am Schlipf , Riehen Beim Schlipf in Riehen zeigt der Hang andauernde , sehr langsame mittelgründige",Bewegungen,"talwärts . Anfallendes Hangwasser , welches destabilisierend wirkt , wird aus dem Hang geleitet . Um die Bewegungen zu überwachen",lemmesMotiliteDE
Bewegung,"langsame mittelgründige Bewegungen talwärts . Anfallendes Hangwasser , welches destabilisierend wirkt , wird aus dem Hang geleitet . Um die",Bewegungen,"zu überwachen und die Gefährdung einschätzen zu können , wird der Hang laufend vermessen . Bauliche Massnahmen sind momentan nicht",lemmesMotiliteDE
Bewegung,"naturnahe und ökologisch wertvolle Erholungsräume erhalten bleiben . - Die Gestaltung der Siedlungen nimmt auf das Bedürfnis nach Erholung ,",Bewegung,und Begegnung Rücksicht und lässt Freiräume . Die Landschaftsqualität in der Wohnumgebung wird beibehalten und wenn möglich verbessert . -,lemmesMotiliteDE
Bewegung,") , Landumlegung bei ungünstiger Parzellenstruktur oder die sorgfältige Gestaltung der Aussenräume , welche u . a . auch für",Bewegung,", Spiel und Sport genutzt werden können . Mobilisierung der Nutzungs- und Bauzonenreserve : Die Mobilisierung umfasst einerseits grundlegende Massnahmen",lemmesMotiliteDE
Bewegung,: In allen Wohn- und Arbeitsgebieten ist die Aufenthaltsqualität auch in Bezug auf das Stadtklima zu verbessern sowie Begegnung und,Bewegung,"zu ermöglichen ( Grünräume , Alleen , Plätze , Sportanlagen , Spielplätze ) . 5 ) Erreichbarkeit und Vernetzung verbessern",lemmesMotiliteDE
Bewegung,"wertvolle Erholungsräume ( siehe Kap . E4 ) . – Die Gestaltung der Siedlungen berücksichtigt das Bedürfnis nach Erholung ,",Bewegung,und Begegnung und integriert hierfür geeignete Bewegungs- und Freiräume . Die Landschaftsqualität in der Wohnumgebung wird verbessert . Wichtige langfristige,lemmesMotiliteDE
Bewegung,". Gemäss kantonaler Tourismusstrategie sowie dem Umsetzungsprogramm der Neuen Regionalpolitik ist das touristische Angebot auch in den Bereichen Sport ,",Bewegung,"und Naturtourismus , Gesundheit , spiritueller Tourismus und Pilgerreisen , Tradition , Brauchtum , Kultur und Heimat sowie im Seminartourismus",lemmesMotiliteDE
Bewegung,"worden . Für das Sportstadion im Herblingertal liegt die Baubewilligung vor , die räumliche Abstimmung ist erfolgt . Sport und",Bewegung,sind für alle Altersgruppen von Bedeutung . Neben den Anlagen für sportliche Aktivitäten ist auch Raum für die alltägliche Bewegung,lemmesMotiliteDE
Bewegung,Bewegung sind für alle Altersgruppen von Bedeutung . Neben den Anlagen für sportliche Aktivitäten ist auch Raum für die alltägliche,Bewegung,"notwendig . Hier spielen die öffentlichen Grün- und Freiräume im Siedlungsgebiet , die Räume entlang von Gewässern und die Naherholungsgebiete",lemmesMotiliteDE
Bewegung,". Planungen und Massnahmen in diesen Gebieten ( Verdichtung , Revitalisierungen usw . ) müssen daher auch dem Aspekt der",Bewegung,"Rechnung tragen . Eine umfassende , alle Bereiche von Sport und Bewegung enthaltende Planung analog zur Sportpolitik des Bundesrates ,",lemmesMotiliteDE
Bewegung,". ) müssen daher auch dem Aspekt der Bewegung Rechnung tragen . Eine umfassende , alle Bereiche von Sport und",Bewegung,"enthaltende Planung analog zur Sportpolitik des Bundesrates , wo Gesundheit u . a . durch die allgemeine Sport- und Bewegungsförderung",lemmesMotiliteDE
