lemma,count
kantonal,10868
öffentlich,3972
@card@,3506
regional,3140
bestehend,2655
neu,2609
weit,2535
räumlich,2395
groß,2100
«,1920
national,1854
folgend,1719
hoch,1551
�,1521
wichtig,1432
andere,1369
entsprechend,1274
gut,1211
wirtschaftlich,1193
verschieden,1170
kommunal,1036
−,1019
geeignet,1005
→,994
touristisch,985
ländlich,940
ökologisch,928
einzeln,794
besonder,784
notwendig,737
raumwirksam,733
übergeordnet,723
landwirtschaftlich,700
strategisch,663
nachhaltig,645
»,611
zusätzlich,609
erst,606
baulich,573
attraktiv,553
lokal,530
betroffen,520
zentral,505
erneuerbar,504
übrig,502
natürlich,493
wesentlich,492
vorhanden,480
konkret,475
angestrebt,473
künftig,470
international,465
gesetzlich,452
erforderlich,443
qualitativ,438
langfristig,432
b,431
planerisch,425
möglich,422
naturnah,409
heutig,400
nah,397
historisch,396
laufend,394
allfällig,393
wertvoll,385
raumplanerisch,384
zuständig,383
geplant,377
finanziell,370
eidgenössisch,368
technisch,367
bedeutend,362
optimal,359
schützenswert,358
privat,357
ganz,355
ch,352
Berner,349
unterschiedlich,349
schweizerisch,340
überregional,337
erheblich,335
erschlossen,331
klein,328
gering,318
richtungsweisend,311
gesamt,307
zukünftig,307
aktuell,303
letzt,303
c,301
traditionell,297
genutzt,297
örtlich,294
militärisch,284
effizient,284
verkehrsintensiv,278
¡,274
differenziert,274
ausreichend,270
inner,269
festgelegt,267
motorisiert,265
vielfältig,262
stark,260
e,257
belastet,256
direkt,253
archäologisch,252
gezielt,252
vorgesehen,250
d,247
zusammenhängend,246
politisch,246
jeweilig,244
angemessen,243
geschützt,240
sicher,239
umfassend,236
beteiligt,235
spezifisch,234
mittler,234
überbaut,231
gemeinsam,226
nötig,224
A@card@,222
klar,221
eng,220
bestimmt,219
gewiss,215
dezentral,214
bezeichnet,213
bisherig,212
eigen,211
hochwertig,210
alt,209
zweckmäßig,203
abgestimmt,199
verbindlich,198
è,197
aktiv,197
regionalpolitisch,193
landschaftlich,192
kulturell,191
landschaftsprägend,190
organisatorisch,190
nachfolgend,189
maßgeblich,188
anzustrebend,186
speziell,185
zunehmend,184
generell,181
urban,181
haushälterisch,177
allgemein,175
einheimisch,175
intakt,174
kurz,174
angrenzend,173
lang,172
kombiniert,170
thematisch,169
rechtlich,169
gleich,168
z,167
leistungsfähig,167
durchschnittlich,166
erhöht,166
zeitlich,164
zahlreich,164
zweit,163
n,162
●,162
städtebaulich,161
dicht,161
besiedelt,161
grenzüberschreitend,157
koordiniert,156
stehend,156
15-jährig,153
äußer,152
funktional,151
C@card@,149
FFF,149
dritt,149
jährlich,149
”,148
raumrelevant,147
intensiv,147
maßgebend,146
rechtskräftig,144
negativ,140
vorliegend,140
fachlich,139
benötigt,138
potentiell,137
Schweizer,137
provisorisch,135
städtisch,135
verfügbar,133
elektrisch,133
empfindlich,133
flankierend,131
offen,130
voraussichtlich,130
überkommunal,128
erwartet,127
unüberbaut,126
spät,126
zivil,125
europäisch,122
