lemma,count
»,1364
möglich,1301
gut,1243
mittelfristig,770
langfristig,727
kurzfristig,708
stark,669
grundsätzlich,593
neu,537
entsprechend,532
notwendig,520
sicher,489
erforderlich,474
wichtig,461
räumlich,453
vorhanden,424
gleichzeitig,413
regional,382
weitgehend,358
optimal,354
namentlich,353
kantonal,349
direkt,339
−,337
national,335
periodisch,319
laufend,310
gemeinsam,295
nötig,289
offen,280
wertvoll,280
nachhaltig,278
sinnvoll,274
hoch,271
betreffend,262
«,258
verbindlich,253
vermehrt,247
zusätzlich,246
genügend,234
qualitativ,228
prioritär,223
wesentlich,223
innen,221
frühzeitig,220
groß,218
ökologisch,216
primär,212
abhängig,210
wirtschaftlich,210
künftig,208
gezielt,203
zulässig,201
haushälterisch,195
gemäß,195
maßgebend,193
weit,192
intensiv,192
ausreichend,192
bestehend,184
total,183
gesamthaft,182
landwirtschaftlich,181
zuständig,171
kommunal,169
gering,167
erreichbar,165
aktiv,164
deutlich,161
angemessen,158
attraktiv,158
vorwiegend,152
eng,148
hauptsächlich,147
klar,147
speziell,147
dicht,144
zweckmäßig,143
längerfristig,141
zunehmend,140
behördenverbindlich,139
jährlich,136
relativ,135
regelmäßig,131
aktuell,129
basierend,129
erheblich,127
u,126
verfügbar,126
z,125
maximal,125
frei,124
landschaftlich,124
zugänglich,121
voraussichtlich,120
effizient,119
konsequent,118
stufengerecht,118
”,116
vollständig,110
rechtskräftig,109
klein,107
rechtzeitig,106
öffentlich,105
zwingend,105
verantwortlich,104
fest,103
wahr,102
lokal,100
raumplanerisch,96
mehrheitlich,95
zentral,95
unterschiedlich,93
dauernd,91
verstärkt,90
zeitlich,87
allgemein,87
generell,87
rasch,86
zukünftig,84
häufig,83
naturnah,83
finanziell,83
dauerhaft,82
ersichtlich,81
angrenzend,80
flächendeckend,79
unmittelbar,79
knapp,78
systematisch,78
parallel,78
ausschließlich,76
abschließend,76
spät,76
FFF,74
sorgfältig,74
gegenseitig,73
vereinbar,72
verbunden,72
umfassend,72
verträglich,72
ergänzend,72
±,71
ländlich,70
bekannt,70
abgestimmt,69
grundeigentümerverbindlich,69
strategisch,69
leicht,68
positiv,68
Riehen,67
machbar,67
historisch,66
begrenzt,66
gesetzlich,66
ungenügend,66
ganzjährig,65
schrittweise,65
grau,64
rechtlich,63
bedingt,63
vielfältig,63
schwierig,62
anschließend,61
tief,60
bereit,60
erfolgreich,60
zeitgerecht,59
¡,59
touristisch,59
analog,58
zonenkonform,58
-weiden,58
gesamt,58
politisch,58
technisch,57
gleich,57
schnell,57
konkret,56
außen,56
definitiv,55
entscheidend,55
bedarfsgerecht,55
denkbar,55
fern,54
unabhängig,54
eventuell,53
indirekt,53
ausgehend,52
●,51
örtlich,51
geeignet,50
bewusst,50
intakt,49
vorliegend,49
maßgeblich,49
städtebaulich,49
planerisch,49
