lemma,count
auch,4109
insbesondere,1811
nur,1793
noch,1653
so,1069
besonders,833
zudem,829
möglichst,806
bereits,802
mehr,785
aber,745
jedoch,688
rund,676
aufeinander,634
heute,599
sehr,528
zusammen,496
weiter,472
mindestens,465
dort,444
teilweise,412
etc.,410
@card@,361
immer,345
insgesamt,316
soweit,312
somit,305
beispielsweise,295
ebenfalls,274
weiterhin,267
jeweils,267
erst,255
einerseits,241
hier,233
je,228
siehe,215
oft,204
allenfalls,199
bisher,195
andererseits,188
innen,177
dann,160
wieder,158
etwa,152
hinaus,146
außerhalb,133
ebenso,130
allerdings,121
da,114
gegebenenfalls,113
nun,112
weniger,108
miteinander,103
zwar,101
spätestens,101
lediglich,100
schon,99
zurzeit,96
also,94
ausgenommen,88
meist,87
kaum,85
ja,85
selber,82
nötigenfalls,81
zuhanden,77
eher,77
ganz,72
untereinander,71
derzeit,70
vorab,70
schließlich,70
selbst,69
oben,69
anders,66
fast,65
zumindest,64
größtenteils,61
jederzeit,59
überall,53
hingegen,52
anderseits,52
allein,52
vorgängig,52
sogar,51
gar,49
plus,46
wenig,46
höchstens,46
dennoch,46
rein,44
vielmehr,43
hinweg,42
unten,41
vergleichsweise,40
vorne,40
vor,40
nach,39
zugleich,37
hin,37
wiederum,37
ausnahmsweise,36
stets,35
insb,33
zirka,33
gleichermaßen,32
gerade,32
vorerst,30
ehemals,29
frühestens,29
natürlich,29
nämlich,29
teils,28
außerorts,28
vielfach,27
hinzu,27
sofort,27
früher,26
seither,26
etwas,26
zunächst,25
erstmals,25
einmal,25
sonst,24
jedenfalls,24
überhaupt,24
zuerst,24
zuletzt,23
möglicherweise,22
letztlich,22
ansonsten,22
nie,21
anhin,20
lange,20
nachts,20
gegeneinander,19
nahezu,19
voneinander,18
jetzt,17
nochmals,17
indes,17
äußerst,16
ihrerseits,16
wenigstens,15
inwieweit,15
damals,15
ohnehin,15
tags,15
außerdem,15
vielerorts,15
oftmals,15
viel,15
zugrunde,15
doch,15
sodann,14
abseits,14
bislang,14
umso,14
überdies,13
derart,13
ab,13
ob,13
nung,13
netto,13
folglich,13
zumeist,12
erstens,12
denn,12
alleine,12
durchaus,12
meistens,12
zweitens,12
heraus,11
mal,11
inbegriffen,11
andernfalls,11
eh,11
sow'ie,11
leider,11
vermutlich,11
vorbei,11
wohl,10
innerorts,10
insbesonders,10
insoweit,10
inzwischen,10
vormals,10
insofern,9
bestimmt,9
rzu,9
folgendermaßen,9
durchwegs,9
andrerseits,9
mittlerweile,9
anfangs,9
hinten,8
zeitweise,8
seinerseits,8
inwiefern,8
beinahe,7
zusehends,7
darunter,7
entlang,7
andernorts,7
raus,7
bald,7
unverhältnismäßig,7
zueinander,7
mitten,7
dere,7
EWO,6
jeher,6
vorher,6
zweckmäßigerweise,6
nebeneinander,6
indessen,6
einstweilen,6
vorderhand,6
weg,6
rechts,6
nachher,6
gleichwohl,5
letztmals,5
nirgends,5
idealerweise,5
höchst,5
längstens,5
sonders,5
womöglich,5
genauso,5
weni,5
manchmal,5
mancherorts,5
weitaus,4
seinerzeit,4
natürlicherweise,4
eben,4
genug,4
sinnvollerweise,4
demnächst,4
notfalls,4
dermaßen,4
zuvor,4
tagsüber,4
hindurch,4
durch,4
Alpnach,4
zuwenig,4
erfreulicherweise,4
insbeso,4
vorn,4
dannzumal,4
heim,3
dito,3
einst,3
beieinander,3
längst,3
sowi,3
rundum,3
keinesfalls,3
beidseits,3
von1993,3
zweimal,3
rum,3
zugute,2
endlich,2
gerne,2
dergestalt,2
übrigens,2
insbeson-,2
strasse,2
links,2
dazumal,2
überaus,2
typischerweise,2
hinauf,2
her,2
nungen,2
contra,2
dereinst,2
voraus,2
seits,2
waldentwicklungAARGAU,2
mehrmals,2
insbeson,2
demnach,2
üblicherweise,2
infolgedessen,2
fünfzehnmal,2
desserte,2
eínerseits,2
werktags,2
schätzungsweise,2
Nutzu,2
immerhin,2
einher,2
unlängst,2
sowenig,2
eigentlich,2
imstande,2
mögf,2
dorthin,2
schaumal,2
strassen,2
talwärts,2
spãtestens,2
ebensowenig,1
sicher,1
ostwärts,1
himmelwärts,1
realistischerweise,1
minus,1
bestens,1
eigentümer-,1
mithin,1
behörden-,1
heran,1
Talachern,1
zwangsweise,1
insgesamfc,1
gewissermaßen,1
aufzu,1
miteinzu,1
tatsächlich,1
nungsgesetz,1
geradezu,1
allen-,1
aufwärts,1
keineswegs,1
vergebens,1
Netzergänzungen,1
solchermaßen,1
ganztags,1
anderer-,1
unterdessen,1
aneinander,1
nacheinander,1
4882c,1
bestenfalls,1
neuerdings,1
wärts,1
vielmals,1
17c,1
nunmehr,1
zuvorderst,1
vonPärke,1
terhin,1
weni-,1
derem,1
anderung,1
doc,1
