lemma,count
für,21410
in,21114
von,17496
mit,16668
auf,10391
bei,6038
durch,5345
an,5288
über,5215
nach,4143
zu,4047
aus,2658
gemäß,2558
unter,2001
zwischen,1919
bis,1517
vor,1500
um,1238
aufgrund,1144
außerhalb,1062
innerhalb,957
bezüglich,725
pro,593
ohne,565
seit,453
neben,450
ab,418
entlang,335
mittels,318
gegenüber,257
hinsichtlich,216
wegen,151
trotz,144
gegen,140
gen,111
inklusive,108
zugunsten,106
während,99
nebst,94
anhand,86
dank,86
infolge,76
je,74
via,71
angesichts,68
per,68
südlich,62
seitens,42
nahe,42
außer,42
nördlich,39
einschließlich,35
westlich,33
oberhalb,33
hinter,29
zwecks,27
anstelle,27
samt,27
ausschließlich,25
abseits,25
statt,23
östlich,22
unterhalb,21
anlässlich,19
entgegen,14
entsprechend,14
laut,13
südöstlich,11
längs,11
südwestlich,9
ungeachtet,9
nordöstlich,9
ob,8
eingangs,7
zuungunsten,7
mithilfe,7
mangels,7
beidseits,7
abzüglich,6
nordwestlich,5
exklusive,4
zeit,4
mitsamt,4
seiten,3
nah,3
anfangs,3
inmitten,3
zuzüglich,3
fern,2
minus,2
nächst,1
ähnlich,1
jenseits,1
beiderseits,1
ausgangs,1
