lemma,count
Bern,4270
nr,1982
B,1915
Appenzell,1903
Fr,1875
Luzern,1460
Zürich,1223
bzw,1221
SR,1215
FS,1203
Schaffhausen,1064
Schweiz,911
St,827
RPV,753
Obwalden,739
Basel,711
L,705
Nidwalden,682
are,619
Solothurn,599
Glarus,574
ESP,562
Schwyz,536
Uri,526
i,481
ZE,420
ca,400
AL,369
TG,364
VO,355
SBB,354
Biel,352
KRP,346
Herisau,339
RPG,336
M,330
usw,325
BSG,309
TBA,304
AGR,292
Rhein,286
VE,282
Mio,272
de,255
EG,255
Thurgau,246
Thun,243
NW,242
ARA,233
r,229
NHG,229
Ausserrhoden,216
x,210
RiplaNr,205
I,193
öV,191
KAWA,187
Oberegg,186
BAFU,186
Jura,177
Stan,175
ISOS,161
be,154
Vierwaldstättersee,152
Winterthur,150
AöV,148
UVEK,147
DQWRQDOHU5LFKWSODQ2EZDOGHQ,145
ha,143
Lu,143
Ost,142
Ch,140
beco,140
Baar,139
ei,138
ASTRA,137
resp,134
PA,133
Langenthal,133
IVS,133
Thayngen,132
Vgl,130
KS,130
LH,129
Cham,127
KLEK,126
USG,126
sil,124
Engelberg,124
Afu,124
N,123
PBG,123
GSchG,119
rawi,119
E2,118
Gais,118
S1,118
Gonten,116
Bühler,114
Stein,114
Pfäffikon,114
Zentralschweiz,113
SAZ,113
Hundwil,112
ä,109
Olten,108
ÖV,108
JGK,108
P,103
Emmental,102
BGS,102
AFU,99
VBS,99
Baden,98
MIV,95
Hergiswil,95
SG,95
BAV,95
Alpnach,93
d'ie,92
Espace,91
SZ,90
GS,89
Arth,88
RICHTPLANUNC,87
Innerrhoden,87
Neunkirch,87
Hrsg,87
ST,87
c,87
Kant,86
ten,86
LSG,85
Meiringen,85
NSG,84
SO,84
S2,84
FFF,83
BAZL,82
NL,81
Kern,81
di,80
Eidg,80
Wasserkraft,79
Kreuzlingen,77
p,77
TVA,76
GSchV,76
S4,76
Risch,76
Dübendorf,76
N2,75
La,75
WV,74
AWA,73
PNA,73
E4,72
al,72
Uhl,72
Pl,71
XVJDQJVODJH,71
STEP,71
j,71
Aarau,71
ETH,70
Deutschland,70
LSV,70
BLN,70
Tab,69
UNESCO,69
Dez,68
NISV,68
B_04,68
WEA,68
Europa,67
XU,67
Langnau,66
Jakob,65
bernois,65
16a,64
BV,64
HY,64
GEP,64
E3,63
Au,63
EOS,62
von,62
VZÄ,62
Arth-Goldau,62
AP,62
S5,61
Giswil,60
Abb,59
Arc,59
XQG,59
Menzingen,59
ESP-A,59
rev,59
StFV,59
Altr,59
Muri,58
Dep,57
V-3,57
on,56
AFJ,56
E5,56
KW,56
B_07,56
S3,55
Trois,55
Steffisburg,55
OB,55
AWE,55
Johann,55
IYZ,54
MW,54
M3,54
Ostschweiz,53
UGLH,53
Limmattal,53
XQJ,53
Bad,53
IV,53
DX,52
E1,52
B_03,52
Hitzkirch,52
d,52
B_05,52
Rothenburg,51
Lacs,50
GH,50
SCH,50
Stetten,50
LWG,50
BS,50
Stansstad,50
Sursee,49
Spiez,49
B3,49
Al,49
Brienz,49
e,48
Wilchingen,48
WEP,48
rGVK,48
Wolf,48
BFS,48
Rickenbach,48
Nordwestschweiz,48
Niederbipp,48
TA,47
ls,47
admin,47
Wollerau,47
GSA,47
Uetendorf,46
Allschwil,46
Bodensee,46
B_10,46
HPHUNXQJHQ,46
Brugg,46
Reuss,45
Ruswil,45
Liestal,45
SE,45
Raurica,45
Gossau,45
M1,45
nat,45
vif,45
Wil,45
N4,45
E6,44
Bienne,44
RP,44
dje,44
A,44
Awel,43
Ala,43
ÖQV,43
Aft,42
Grundl,42
WBV,42
C_04,42
BUWD,42
E_02,42
LQ,42
RQ,42
5LFKWXQJVZHLVHQGH,42
BVD,41
Genf,41
E_04,41
Siblingen,41
Dornach,41
Oensingen,41
Schüpfheim,41
Ried,41
lawa,41
dans,40
E7,40
Lana,40
Bed,40
B_06,40
6F,40
8a,40
KV,40
Min,40
Büren,40
UVP,39
Lutzenberg,39
NFA,39
Heimberg,39
Saanen,39
D8,39
Ins,39
Milano,39
1DWXUXQG,39
B_01,38
RRB,38
B_02,38
LKV,38
Muotathal,38
Le,38
IE,38
OW,38
Lörrach,38
XQJHQ,38
Münsingen,38
L3,38
Aarberg,38
AGG,38
Reinach,38
Ennetbürgen,38
PTT,37
B_09,37
B_08,37
Lyss,37
TBS,37
VÄ,37
Gotthard,37
HS,37
D'ie,37
se,37
ANF,36
D_01,36
Biberbrugg,36
HVWOHJXQJHQ,36
agen,36
BauV,36
Transparenz,36
Lausanne,36
L5,36
S6,36
Klybeck,36
DTV,36
LKS,36
II,35
Biel-Seeland,35
Wolfenschiessen,35
Anat,35
E8,35
UGHQ,35
HU,35
BLS,35
rn,35
Steinegg,35
Kt,35
Ev,35
RR,35
Wettingen,35
Sihl,35
NO,35
Brügg,35
Agi,34
Walli|Wallis,34
Köniz,34
Oberwil,34
L8,34
YJO,34
Rheinfelden,34
Hard,34
Balsthal,34
Aa,34
Oeko-B,33
DQGOXQJVDQZHLVXQJHQ,33
RS,33
LEK,33
Amriswil,33
ZH,33
Conférence,33
ROK,33
Mai,33
swisstopo,33
Nov,32
Göschenen,32
E_03,32
AWöV,32
Stuttgart,32
BL,32
Ostaargau,32
f,32
S-1,32
ZG,32
Wilen,32
aa,32
Sti,32
Zell,31
B2,31
il,31
seeland,31
K4,31
Bf,31
E_05,31
ENHK,31
Linthal,31
Egerkingen,31
AppenzellA,31
Teufen,31
6LHGOXQJ,31
OSQDFK,31
NRP,31
Lwg,30
S-3,30
Muota,30
Kägiswil,30
NHV,30
Romanshorn,30
DBL,30
SFG,30
Pfaffnau,30
Inwil,30
Franken,30
Uwe,30
Oberägeri,30
Augusta,30
Rüdlingen,30
Wädenswil,30
Rapperswil,30
Zofingen,29
Mühleberg,29
Singen,29
Neuchâtel,29
un,29
Hallau,29
B14,29
HG,29
Geo,29
Jura-Bienne,29
betr,29
Unterägeri,29
WSP,29
NEF,29
Sarneraatal,29
Tel,29
Dagmersellen,28
Parc,28
RichtplanAppenzell,28
NSI,28
SACHBERE,28
Arbon,28
Kriens,28
Triengen,28
SAK,28
Anton,28
AÖV,28
Seelisberg,28
A1,27
Buochs,27
Ramsen,27
HPHLQGHQ,27
Aaretal,27
Sihlsee,27
SVO,27
N5,27
E_01,27
J4,27
