POS,total_tokens,unique_lemmas
NN,779760,50649
$.,241549,6
ART,240073,2
ADJA,188789,9974
CARD,168112,46
APPR,164376,97
$(,121926,18
NE,111331,16513
KON,102086,19
"$,",87679,2
VVFIN,58484,2991
ADJD,50662,3377
VAFIN,49275,3
APPRART,43695,12
VVPP,41317,1569
ADV,38644,480
VVINF,24866,1144
TRUNC,20714,2344
XY,14997,25
VMFIN,13598,6
PTKZU,13417,1
VAINF,11250,3
PPER,10977,8
KOKOM,9443,2
PAV,9232,38
KOUS,8418,27
PTKVZ,8370,99
PIAT,7962,28
FM,6817,56
PRELS,6809,3
PDAT,6574,12
PPOSAT,6011,3
VVIZU,5920,337
PRF,5679,4
PTKNEG,5446,1
PDS,3267,11
VVIMP,2277,277
PIS,2271,27
PWAV,1679,20
KOUI,1172,4
VMINF,699,5
ITJ,634,9
VAPP,488,3
APPO,325,10
PTKA,293,2
PRELAT,279,1
PTKANT,233,3
PWS,161,3
APZR,160,5
PWAT,91,2
