lemma,count
ein,962
auf,944
ab,688
an,677
vor,648
fest,646
aus,629
zu,487
dar,406
durch,333
bei,294
zusammen,140
um,140
voraus,125
statt,121
hin,118
mit,108
nach,105
hinaus,55
hoch,53
her,41
entgegen,35
weiter,35
zurück,31
über,30
nahe,27
hinweg,27
berg,24
bereit,23
frei,22
bevor,20
hervor,18
unter,18
groß,17
bestehen,17
gegenüber,16
aufeinander,15
teil,14
auseinander,14
hof,13
zugrunde,11
weg,11
zustande,11
hinzu,11
dort,10
heraus,10
unten,9
tief,9
da,8
zwischen,8
überein,7
fertig,7
klein,6
not,6
punkt,6
fort,6
voran,6
gleich,6
nieder,5
liegen,5
infrage,5
herum,5
einher,4
hinein,4
wahr,4
vorweg,4
instand,4
inne,3
zueinander,3
vorab,3
brach,2
haus,2
oben,2
heran,2
beieinander,2
bekannt,2
rad,2
hinter,2
gefangen,1
näher,1
hinüber,1
eis,1
zugute,1
darunter,1
vorbei,1
mal,1
fehl,1
überhand,1
gegen,1
stand,1
besser,1
hinauf,1
kurz,1
blau,1
dabei,1
neu,1
raus,1
davon,1
aufrecht,1
