lemma,count
Natur-,778
Wohn-,722
Fuß-,721
Ver-,578
Planungs-,574
Bau-,449
Verkehrs-,347
Aufgaben-,344
Land-,314
Industrie-,261
Siedlungs-,231
Freizeit-,229
Schutz-,192
Abbau-,168
Misch-,164
Landschafts-,160
Richt-,157
Nutzungs-,141
Rad-,135
Gesamtverkehrs-,129
Tier-,125
Stand-,124
mittel-,112
Bevölkerungs-,107
Hoch-,102
Gewerbe-,101
Justiz-,90
Kantons-,89
Aus-,88
Kultur-,87
Gemeinde-,87
Orts-,85
Sport-,85
Ein-,82
Agglomerations-,81
kurz-,81
Grün-,79
Lebens-,77
Wasser-,76
Raum-,74
Energie-,74
Lösungs-,74
Bahn-,73
Erholungs-,71
Umwelt-,69
Regional-,67
Neu-,66
Strassen-,66
Wirtschafts-,66
Landwirtschafts-,65
Gesundheits-,58
Betriebs-,56
land-,55
Tourismus-,54
Trink-,53
Um-,52
Lärm-,52
Finanz-,50
Velo-,50
Arbeits-,50
ver-,50
Ortsbild-,49
Durchgangs-,49
Personen-,48
Grund-,47
Telekommunikations-,45
Bildungs-,42
Kies-,38
Abfall-,37
See-,37
Kern-,37
Altlasten-,37
Biotop-,36
Wald-,36
Gewässer-,36
Ziel-,36
inner-,36
Einkaufs-,35
Haupt-,34
vor-,34
R-,34
National-,34
ge-,34
Aushub-,33
Quell-,33
Arten-,32
Zu-,32
An-,32
Koordinations-,32
be-,31
Hügel-,31
Forschungs-,31
Arbeitsplatz-,31
Frei-,30
Pflanzen-,29
Mittel-,29
Nutz-,29
Versorgungs-,29
umwelt-,28
Berg-,27
Einwohner-,27
Fern-,27
Achsen-,26
Sach-,26
Güter-,26
Entwicklungs-,26
landschafts-,26
Lebensraum-,25
Erst-,25
Luft-,24
Alters-,24
ober-,24
Über-,24
Wirkungs-,24
Bus-,24
Gebäude-,24
n-,24
Ausschluss-,24
Grundwasser-,23
Dienstleistungs-,23
Stadt-,23
Kurz-,23
Strom-,23
raum-,23
staats-,22
Ausgleichs-,22
Landschaftsschutz-,21
Deponie-,21
Wander-,21
Test-,21
Hochwasser-,21
Spital-,21
Waffen-,21
Gas-,20
verkehrs-,20
Start-,20
Meliorations-,20
Schienen-,20
Investitions-,20
un-,20
Wasserbau-,19
Ausgangs-,19
Gruben-,18
Sozial-,18
Be-,18
Klima-,18
Umnutzungs-,18
Erschließungs-,18
Alp-,18
Entwick-,18
natur-,18
Wiederherstellungs-,18
Raumplanungs-,18
Leistungs-,18
Boden-,18
bau-,18
Nieder-,18
Infrastruktur-,18
Hochleistungs-,17
Polizei-,17
Ausflugs-,17
Bundes-,17
er-,17
Ferien-,17
Strassenverkehrs-,17
Ausbau-,17
Vor-,17
Produktions-,16
