,DE_AG,DE_AI,DE_AR,DE_BE,DE_BL,DE_BS,DE_GL,DE_LU,DE_NW,DE_OW,DE_SH,DE_SO,DE_SZ,DE_TG,DE_UR,DE_ZG,DE_ZH
wartezeit,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
fahrstress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
komfort,0,1,0,0,0,4,1,1,1,0,0,0,5,0,0,2,0
erfahrung,2,0,1,8,1,1,0,0,2,2,1,0,1,0,0,0,1
wahrnehmung,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1
angenehm,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2
fahrgastzufriedenheit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zeitnutzung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bewertet zeit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leben zeit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wohlfühlmobilität,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
