,DE_AG,DE_AI,DE_AR,DE_BE,DE_BL,DE_BS,DE_GL,DE_LU,DE_NW,DE_OW,DE_SH,DE_SO,DE_SZ,DE_TG,DE_UR,DE_ZG,DE_ZH,total
minute,1,11,9,0,1,5,0,1,0,2,0,0,0,2,0,0,0,32
stunden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dauern,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
geschwindigkeit,0,0,8,0,1,4,0,0,0,0,0,0,4,0,0,0,0,17
schnelligkeit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pünktlichkeit,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,7
verspätung,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4
kilometer,0,1,0,15,0,1,0,2,1,1,0,2,2,0,0,1,2,28
verlangsamung,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3
taktfrequenz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wartezeit,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3
fahrstress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
komfort,0,1,0,0,0,4,1,1,1,0,0,0,5,0,0,2,0,15
erfahrung,2,0,1,8,1,1,0,0,2,2,1,0,1,0,0,0,1,20
wahrnehmung,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,5
angenehm,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,10
fahrgastzufriedenheit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zeitnutzung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bewertet zeit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leben zeit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wohlfühlmobilität,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
