id,document,canton,year,n,form,depos,delemma,lang,list
w_DE_BE_2010_44113,DE_BE,BE,2010,44113,Bewegungen,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_LU_2025_9556,DE_LU,LU,2025,9556,Bewegungen,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_GL_2025_24656,DE_GL,GL,2025,24656,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2024_3349,DE_BS,BS,2024,3349,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2024_9705,DE_BS,BS,2024,9705,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2024_10042,DE_BS,BS,2024,10042,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2024_10470,DE_BS,BS,2024,10470,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2024_10481,DE_BS,BS,2024,10481,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2024_17564,DE_BS,BS,2024,17564,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2024_17591,DE_BS,BS,2024,17591,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2024_17725,DE_BS,BS,2024,17725,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2024_17741,DE_BS,BS,2024,17741,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2024_17927,DE_BS,BS,2024,17927,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2024_17996,DE_BS,BS,2024,17996,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2024_18007,DE_BS,BS,2024,18007,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2024_21992,DE_BS,BS,2024,21992,Bewegungen,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2024_22828,DE_BS,BS,2024,22828,Bewegungen,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2024_22846,DE_BS,BS,2024,22846,Bewegungen,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_ZG_2025_3780,DE_ZG,ZG,2025,3780,Bewegungen,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BE_2008_40884,DE_BE,BE,2008,40884,Bewegungen,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BE_2002_37110,DE_BE,BE,2002,37110,Bewegungen,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2010_823,DE_BS,BS,2010,823,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2010_22684,DE_BS,BS,2010,22684,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2010_22749,DE_BS,BS,2010,22749,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2010_23005,DE_BS,BS,2010,23005,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2010_23505,DE_BS,BS,2010,23505,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2010_23544,DE_BS,BS,2010,23544,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2010_33614,DE_BS,BS,2010,33614,Bewegungen,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2010_62770,DE_BS,BS,2010,62770,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2010_62840,DE_BS,BS,2010,62840,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2010_62996,DE_BS,BS,2010,62996,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2025_6323,DE_BS,BS,2025,6323,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2025_14720,DE_BS,BS,2025,14720,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2025_15057,DE_BS,BS,2025,15057,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2025_15480,DE_BS,BS,2025,15480,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2025_15491,DE_BS,BS,2025,15491,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2025_20304,DE_BS,BS,2025,20304,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2025_26600,DE_BS,BS,2025,26600,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2025_26627,DE_BS,BS,2025,26627,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2025_26775,DE_BS,BS,2025,26775,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2025_26791,DE_BS,BS,2025,26791,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
w_DE_BS_2025_26977,DE_BS,BS,2025,26977,Bewegung,NN,Bewegung,DE,lemmesMotiliteDE
