lemma,count
•,2690
–,2269
·,1858
@card@,1413
etc,1060
▪,713
SDA,504
|,446
A@card@,416
F@card@,362
*,338
ha,338
−,325
�,296
E@card@,290
RER,273
C@card@,271
>,244
kilomètre,242
B@card@,233
D@card@,223
#,212
heure,205
D,183
°,156
R@card@,132
U,122
‐,92
<,82
MD,69
OFEV,67
P@card@,61
PS,58
$,57
TGV,56
—,48
CE,48
PAC,45
A2,42
AG,33
Eviter,29
è,28
Naturschutz,25
PME,23
PSE,19
OCDE,19
=,18
Die,17
D_03,17
A_01,17
“,17
F_02,16
N@card@,15
©,15
F_03,15
E_01,14
Etablissent,14
…,13
Uetendorf,13
E_02,13
A_05,13
D_06,12
E_05,11
D_01,11
E_06,11
F_01,11
D_04,11
E_07,11
→,11
D_07,11
A_06,11
׀,10
Utzenstorf,10
H_01,10
DDE,9
OMC,9
E_04,9
D_02,9
ZAB0,9
E_11,8
E_08,8
D_08,8
C_16,8
I@card@,8
F,7
F_04,7
UFT,7
v,7
m@card@,7
C_08,7
E_09,7
E_10,7
Co,7
IBM,7
C_04,6
@,6
ZSA,6
D_05,6
ONG,6
Etablir,6
–31,6
C_12,6
C_02,6
C_09,6
ENV,6
TV,6
H@card@,5
DB@card@,5
‑,5
C_21,5
OSLJ,5
FM,5
C_14,5
E_03,5
Evacuer,4
Evaluer,4
A223,4
Urtenen-Schönbühl,4
A219,4
Eaux-Vives,4
C_20,4
C_15,4
D_09,4
F11–,4
C_11,4
U@card@,4
PPE,3
DATAR,3
”,3
^,3
C_13,3
A_07,3
Unterer,3
Unterworben,3
PBC,3
PC,3
DS,3
Altlasten-,3
A_02,3
COS,3
HarmoS,3
C_03,3
Ed,3
Echangent,3
T@card@,2
Zäziwil,2
Zusammenarbeit,2
DDvoir,2
D_11,2
UE,2
TF,2
CIG,2
Elaborent,2
Etudient,2
Eliminer,2
2008–2011,2
nº,2
Etant,2
ZALA,2
Unterseen,2
Gurbrü,2
ZIMEYSA,2
FC,2
C_19,2
dl,2
SME,2
Herzogenbuchsee,2
Eaux‐Vives,2
ONU,2
HLM,2
Crémines,2
Unterlangenegg,2
2005–,2
FMV,2
QUATER-,2
RC19,2
ZAB15,2
Fahrni,2
Corgémont,2
Uttigen,2
EP4-08,1
Uebeschi,1
2004‐,1
ÖV,1
2006‐,1
1985‐2005,1
OTV,1
2012‐2017,1
Ursenbach,1
Berthoud-Frau-,1
Wangen-Wiedlis-,1
Moossee-Urtenen-,1
Annemasse,1
Cherpines,1
ZIMEYSAVER,1
SNCF,1
A_08,1
A_03,1
ZAS,1
ARE-OFEV-OFT@card@,1
Nov,1
EP4-09,1
-J,1
Casaï,1
EP4-10,1
EP4-11,1
EP4-07,1
EP4-06,1
EP4-12,1
›,1
1à2,1
3à4,1
Moossee-,1
Wangen-,1
Anet-,1
Clavaleyres,1
Douanne-,1
H189,1
7à8,1
1C_397,1
5à6,1
Schangnau-,1
Châtelat-Monible,1
Fornet-Dessous,1
Berthoud-,1
C_05,1
UR,1
E_12,1
Evitent,1
Elaborer,1
VS94,1
A_04,1
1C_470,1
Avenches,1
VS46,1
VS60,1
C_07,1
Ober-,1
U_80,1
▼,1
U_99,1
Frei-,1
H_03,1
U_96,1
Funktionaler,1
ssennetz,1
In-,1
Lawinen-,1
Unterstützungs-,1
verkehrsgünsti-,1
δ,1
5m,1
DDApporter,1
DDAutoriser,1
γ,1
J@card@,1
Chiètres,1
Kiental-Reichen-,1
D_10,1
Heritage,1
