lemma,count
cantonal,15655
régional,8524
plan,7256
fédéral,5829
public,5744
autre,4661
directeur,4659
naturel,4474
nouveau,4113
–,3716
économique,3408
grand,3316
urbain,3118
agricole,2907
local,2861
nécessaire,2530
durable,2490
national,2400
communal,2254
principal,2198
différent,2161
important,2144
touristique,2115
existant,2108
stratégique,2046
objectif,1917
routier,1895
général,1756
particulier,1744
écologique,1674
sectoriel,1641
culturel,1495
vaudois,1486
foncier,1452
suivant,1450
territorial,1428
rural,1384
•,1343
long,1330
possible,1321
forestier,1308
paysager,1305
fort,1289
financier,1275
doux,1223
t,1216
politique,1166
opérationnel,1165
ferroviaire,1157
publique,1129
commun,1127
suisse,1077
moyen,1034
bon,1028
spatial,981
énergétique,955
relatif,954
responsable,954
prioritaire,939
social,899
at,895
s,886
international,867
préalable,847
légal,837
voisin,809
souterrain,802
spécifique,790
réglé,777
und,770
ent,762
même,758
historique,752
x,741
intercommunal,732
e,731
technique,731
majeur,729
actuel,729
spécial,723
global,722
individuel,712
cf,710
haut,707
divers,691
court,690
renouvelable,670
secondaire,669
dernier,666
qualitatif,665
in,659
industriel,659
digne,636
seul,622
supérieur,621
dynamique,618
adéquat,617
disponible,616
petit,609
éolien,584
environnemental,583
proche,536
optimal,534
ect,534
ique,527
problématique,526
faible,523
suffisant,511
présent,509
propre,506
meilleur,505
intervenant,491
nombreux,489
vert,477
direct,474
futur,472
biologique,471
applicable,468
minimal,463
potentiel,458
al,454
total,448
commercial,447
compact,439
collectif,433
compétent,433
favorable,429
caractéristique,423
démographique,421
ant,416
efficace,416
el,412
contraignant,411
essentiel,405
complémentaire,405
é,396
mixte,385
archéologique,384
potable,384
central,382
humain,380
pédestre,379
scolaire,377
militaire,376
indigène,375
traditionnel,370
indispensable,369
architectural,368
intercantonal,366
privé,365
civil,363
prochain,359
attractif,358
r,355
éventuel,352
concret,350
cyclable,350
cohérent,346
propice,343
sylvicole,338
onal,337
ct,336
obligatoire,332
m,332
géographique,329
européen,328
échéant,324
alluvial,322
conforme,321
sensible,320
actif,317
structurel,312
iques,311
fonctionnel,310
rationnel,308
act,307
accessible,304
·,304
permanent,298
st,298
supplémentaire,294
extérieur,293
oire,293
ancien,292
susceptible,287
ise,286
és,282
hydraulique,281
climatique,281
initial,273
résidentiel,273
indicateur,270
explicatif,268
aérien,266
multimodal,261
onale,261
prépondérant,258
thématique,258
végétal,258
protecteur,258
précis,257
annuel,257
pendulaire,254
autoroutier,251
ruct,247
aéronautique,247
administratif,245
dense,243
con,243
périurbain,243
clair,242
sonore,242
libre,241
large,241
inerte,241
final,237
mondial,236
performant,236
n,234
immobilier,233
interne,232
alpestre,228
sportif,226
T,226
jurassien,225
cycliste,222
quantitatif,221
sud,212
suprarégional,210
certain,208
boisé,206
partiel,204
sauvage,204
artisanal,202
intensif,202
lémanique,201
patrimonial,201
périphérique,201
werden,199
complet,196
annexe,195
fin,195
modal,195
exceptionnel,195
judicieux,194
vital,189
indicatif,186
den,185
approprié,184
croissant,182
—,182
utile,179
riverain,177
intégré,177
respectueux,177
professionnel,177
significatif,175
organisationnel,175
fondamental,174
int,173
inférieur,172
définitif,172
quotidien,172
animal,172
attrayant,171
