lemma,count
ne,5911
plus,4621
pas,3425
notamment,2911
non,1966
également,1952
ainsi,1796
lors,1599
aussi,1524
donc,1262
tant,1139
bien,1105
comme,1028
moins,957
encore,956
ex,940
tout,912
ailleurs,715
très,670
mieux,648
particulièrement,628
déjà,616
autant,611
outre,573
même,564
souvent,562
peu,522
toutefois,475
seulement,469
ensemble,457
-ci,448
aujourd'hui,430
quater,425
voire,420
conformément,413
si,394
là,386
autour,377
traditionnellement,371
alors,371
enfin,339
vis-à-vis,333
ici,332
cependant,325
principalement,315
actuellement,289
près,269
auprès,261
essentiellement,259
pourquoi,256
parfois,250
largement,245
surtout,236
toujours,236
autrement,236
généralement,232
désormais,231
clairement,230
régulièrement,224
directement,222
fortement,215
davantage,206
activement,204
durablement,191
systématiquement,189
périodiquement,187
uniquement,166
puis,166
relativement,152
out,150
prioritairement,148
au-delà,135
ci-dessus,135
économiquement,135
plutôt,131
trop,125
simultanément,124
densément,123
demain,121
suffisamment,118
que,117
est-à-dire,116
progressivement,115
conjointement,114
potentiellement,113
parallèlement,107
ad,105
comment,99
environ,99
ensuite,98
hoc,96
ci-dessous,95
financièrement,92
respectivement,92
beaucoup,90
rapidement,89
efficacement,84
entièrement,83
longtemps,83
néanmoins,80
partout,79
partiellement,76
loin,73
tard,72
pourtant,70
oc,69
localement,68
judicieusement,68
préalablement,68
mal,66
tôt,66
globalement,62
impérativement,62
totalement,62
assez,61
étroitement,61
facilement,59
spécifiquement,59
aisément,58
effectivement,58
constamment,56
intégralement,55
finalement,54
maintenant,53
manifestement,52
ores,51
éventuellement,51
pleinement,51
formellement,50
sensiblement,50
qu',49
guère,48
moyennement,46
fort,46
indirectement,44
précisément,43
presque,43
difficilement,43
exclusivement,43
exceptionnellement,42
probablement,41
mutuellement,41
concrètement,41
majoritairement,41
ci,40
certes,39
soigneusement,37
individuellement,37
rationnellement,37
expressément,36
où,36
géographiquement,35
nettement,35
autrefois,34
idéalement,33
naturellement,32
récemment,31
considérablement,31
contrairement,30
quantitativement,29
forcément,29
qualitativement,29
ponctuellement,29
obligatoirement,28
dessous,28
harmonieusement,28
jamais,27
historiquement,27
proprement,27
au-dessus,27
spécialement,27
quotidiennement,26
correctement,26
point,26
soit,26
légalement,26
pratiquement,25
strictement,25
définitivement,24
rien,23
avantageusement,23
immédiatement,23
artificiellement,22
proportionnellement,22
librement,22
provisoirement,21
encontre,21
doublement,21
annuellement,21
quasiment,21
intensément,21
haut,21
dessus,20
fréquemment,20
initialement,20
physiquement,19
clair,18
gratuitement,18
emblée,18
nouvellement,18
absolument,17
indépendamment,17
équitablement,17
résolument,17
officiellement,17
lentement,16
visuellement,16
écologiquement,16
anciennement,16
extrêmement,16
intensivement,16
simplement,16
intimement,16
ter,15
priori,15
légèrement,15
isolément,15
sus,14
vice,14
techniquement,14
respectueusement,14
cher,14
réellement,14
comparativement,14
politiquement,14
juridiquement,14
préventivement,14
stratégiquement,14
tantôt,14
indéniablement,13
explicitement,13
ab,13
différemment,13
attentivement,13
séparément,13
réciproquement,13
théoriquement,13
insuffisamment,13
encor,12
rarement,12
gravement,12
socialement,11
profondément,11
précédemment,11
ultérieurement,11
dûment,11
vite,11
nécessairement,11
complètement,11
idem,10
fonctionnellement,10
auparavant,10
delà,10
temporairement,10
inutilement,10
incontestablement,10
quand,10
substantiellement,9
dorénavant,9
infra,9
positivement,9
habituellement,9
avec,9
sérieusement,9
bientôt,9
quasi,9
raisonnablement,9
scientifiquement,8
vivement,8
volontiers,8
hautement,8
communément,8
alentour,8
véritablement,8
supra,8
parfaitement,8
faiblement,8
schématiquement,8
nommément,7
aucunement,7
opportunément,7
structurellement,7
bas,7
spontanément,7
droit,7
doucement,7
rigoureusement,7
immanquablement,7
malheureusement,7
extraordinairement,7
paradoxalement,7
accessoirement,7
subsidiairement,7
esthétiquement,7
unanimement,7
justement,6
généreusement,6
volontairement,6
automatiquement,6
voilà,6
personne,6
au-dessous,6
préférentiellement,6
perpendiculairement,6
ouvertement,6
facto,5
combien,5
ferme,5
favorablement,5
vraisemblablement,5
inévitablement,5
avant,5
énergétiquement,5
aussitôt,5
court,5
approximativement,4
grandement,4
pic,4
spatialement,4
préférablement,3
posteriori,3
continuellement,3
inversement,3
ana,3
antérieurement,3
occasionnellement,3
deuxièmement,3
premièrement,3
voici,3
passablement,3
sommairement,3
significativement,3
inégalement,3
gy,3
bis,3
vice-versa,3
modérément,3
contre-saison,3
transversalement,3
notablement,3
contractuellement,3
remarquablement,3
hier,3
transitoirement,2
vraiment,2
exactement,2
assurément,2
finement,2
évidemment,2
brièvement,2
purement,2
climatiquement,2
corrélativement,2
sévèrement,2
objectivement,2
par-dessus,2
certainement,2
implicitement,2
normalement,2
troisièmement,2
brutalement,2
prochainement,2
parcimonieusement,2
commercialement,1
hors,1
typiquement,1
farouchement,1
longuement,1
agréablement,1
négativement,1
solidement,1
territorialement,1
anormalement,1
valablement,1
défavorablement,1
génétiquement,1
ci-devant,1
doux,1
heureusement,1
bon,1
pacifiquement,1
corollairement,1
infiniment,1
graduellement,1
foncièrement,1
minima,1
arrière,1
thermiquement,1
usuellement,1
gros,1
cumulativement,1
nullement,1
gi,1
successivement,1
mi-chemin,1
originellement,1
succinctement,1
pile,1
forte,1
toute,1
peut-être,1
convenablement,1
précocement,1
symboliquement,1
statistiquement,1
chronologiquement,1
marginalement,1
matériellement,1
devant,1
deçà,1
radicalement,1
momentanément,1
net,1
couramment,1
après,1
berne,1
quelquefois,1
biologiquement,1
