,FR_BE,FR_FR,FR_GE,FR_JU,FR_NE,FR_VD,FR_VS,Sum
accessibilité,32,26,41,2,16,150,17,284
qualité desserte,87,28,4,1,1,38,0,159
intégration transport,0,1,0,0,0,2,0,3
coût,142,12,2,0,1,145,2,304
disponibilité transport,1,0,0,0,0,0,0,1
infrastructure,357,116,78,11,15,457,75,1109
centralité spatial,0,0,0,0,0,0,0,0
inégalité accès,0,0,0,0,0,0,0,0
budget mobilité,0,0,0,0,0,0,0,0
réseau transport,47,56,43,4,1,167,13,331
aptitude,0,1,0,0,0,2,0,3
capital mobilité,0,0,0,0,0,0,0,0
habitus mobilité,0,0,0,0,0,0,0,0
autonomie déplacement,0,0,0,0,0,0,0,0
apprentissage mobilité,0,0,0,0,0,0,0,0
stratégie déplacement,1,0,0,0,0,0,0,1
compétence,35,5,4,0,5,99,11,159
représentation espace,0,0,0,0,0,0,0,0
motivation mobilité,0,0,0,0,0,0,0,0
symbolique mobilité,0,0,0,0,0,0,0,0
