lemma,count
Berne,4080
Etat,3356
•,3071
–,1666
Vaud,1280
Genève,1188
Suisse,1148
Lausanne,1124
D,1060
·,1037
B,1035
Conseil-exécutif,1004
PDCn,966
▪,931
CR,819
LAT,771
Jura,568
PDCN,545
OACOT,537
Fribourg,518
M,493
LATC,485
Rhône,465
Alpes,459
LPN,459
Bienne,423
Morges,421
TP,407
Neuchâtel,385
CRTU,380
OFEV,377
SAT,376
1re,354
CC,348
Pr,337
PDE,331
RSB,327
CFF,313
Bern,299
P,296
PDC,289
OPC,283
‐,279
VS,272
UNESCO,264
Arc,251
Léman,246
DB,239
Richtplan,232
F,229
Thoune,222
OFEFP,218
R,217
−,206
SeCA,205
SDT,197
LC,196
OAN,188
von,187
Conception,185
FEDERAL,184
SFFN,181
IFP,180
TTE,180
Di,179
OFOR,176
PALM,174
OPair,173
JCE,169
IP,165
BE,158
PSIA,158
Payerne,151
Confédérat,148
Interlaken,146
OPAM,142
DETEC,141
*,141
Cité,139
VTT,136
M1,134
E11,134
Langenthal,132
LFo,132
LPE,132
Bâle,131
PDE-A,130
IVS,130
Com,130
ICFF,129
Kanton,128
OFEN,126
PLQ,126
A11,125
TC,125
REC,125
Lign,124
Locle,124
MZ,123
E,122
TIM,122
°,121
Seeland,121
Neuchât,121
Lyss,120
Rivelac,117
PAFVG,114
…,114
AF,114
G,114
SAgri,114
38b,113
EC,112
Morat,111
Mittelland,110
Europe,110
C11,109
Köniz,109
Zurich,108
Renens,108
WV,108
OPB,108
M2,107
PPDE,106
B34,105
GOP,105
ODT,105
B11,104
SEVEN,103
OTP,101
Berthoud,101
VD,100
ORNI,100
T,99
SCRIS,99
LEaux,99
PCAP,98
DT,97
DETA,97
A5,95
IFF,95
EPFL,94
Nyon,93
B_04,93
A1,92
Birse,92
Ensemble,91
COPIL,91
PDE-S,91
OFAC,91
Kantons,90
TransRUN,90
SESA,90
État,90
Broye,89
Proj,89
Joux,89
ECO,89
A22,88
France,87
CCDN,87
Biel,87
Die,87
E12,86
Bahnhof,86
A21,85
Bex,85
ZSA,85
B31,84
SFN,82
E22,82
PAZ,82
LP,82
Villeneuve,82
SPC,82
SAF,81
