POS,total_tokens,unique_lemmas
NOM,841085,10035
PRP,409267,46
DET:ART,309547,3
ADJ,287358,4740
PUN,263419,12
PRP:det,146866,2
KON,117885,22
SENT,106700,3
NAM,105884,8413
VER:pres,102841,1217
NUM,95595,72
VER:pper,78572,1524
VER:infi,64675,1203
ADV,61255,418
PRO:PER,31947,18
ABR,24760,353
PRO:DEM,17333,6
VER:ppre,16263,614
PRO:REL,15557,9
VER:subi,14286,167
DET:POS,13554,5
VER:futu,8140,408
PUN:cit,8138,3
PRO:IND,8044,9
VER:simp,7881,382
SYM,3267,3
VER:cond,3154,150
VER:subp,2434,172
VER:impf,1059,135
INT,327,15
PRO:POS,46,2
PRO,22,1
VER:impe,13,7
