lemma,count
e,609
t,523
s,437
i,412
n,355
r,332
l,257
u,227
d,124
é,91
D,56
ve,21
E,18
immettre,15
abgestimmt,9
gesetzt,9
bestimmt,8
abgefragt,8
T,8
erfolgt,7
er,7
re,6
Totholzbestände,6
U,4
forces-faiblesses,3
R,3
Biodiversität,3
festgelegt,3
Fahrplanstabilität,3
Kantonsstrasse,3
Die,3
INS,2
Ergebnisse,2
Annemasse,2
genstrasse,2
IR,2
être,1
Jurastrasse,1
nestrasse,1
häusernstrasse,1
trasse,1
©,1
ents,1
RE,1
èt,1
Re,1
che,1
hubelstrasse,1
Nationalstrasse,1
BE,1
politischer,1
Fussgängerbrücke,1
Projekt,1
verstärkt,1
zeigt,1
Stammstrecke,1
entdeckt,1
Mobilität,1
tour-,1
starke,1
Verbindungsstrasse,1
Neubaustrecke,1
Simmentalstrasse,1
Wirtschaftsqualität,1
strebt,1
wisse,1
Einflüsse,1
armasuisse,1
N,1
Kreuzungspunkt,1
Umsteigeverhältnisse,1
Murtenstrasse,1
Autobahntrasse,1
Tramstrecke,1
Strecke,1
