id,document,canton,year,n,form,frpos,frlemma,lang,list
w_FR_VS_2019_28778,FR_VS,VS,2019,28778,et,KON,et,FR,lemmesMotiliteFR
w_FR_VS_2019_28780,FR_VS,VS,2019,28780,représentation,NOM,représentation,FR,lemmesMotiliteFR
w_FR_BE_2024_87435,FR_BE,BE,2024,87435,.,SENT,.,FR,lemmesMotiliteFR
w_FR_BE_2024_87437,FR_BE,BE,2024,87437,représentation,NOM,représentation,FR,lemmesMotiliteFR
w_FR_BE_2016_8335,FR_BE,BE,2016,8335,impliquant,VER:ppre,impliquer,FR,lemmesMotiliteFR
w_FR_BE_2016_8337,FR_BE,BE,2016,8337,adaptations,NOM,adaptation,FR,lemmesMotiliteFR
w_FR_BE_2024_7750,FR_BE,BE,2024,7750,impliquant,VER:ppre,impliquer,FR,lemmesMotiliteFR
w_FR_BE_2024_7752,FR_BE,BE,2024,7752,adaptations,NOM,adaptation,FR,lemmesMotiliteFR
w_FR_BE_2013_14605,FR_BE,BE,2013,14605,cantonales,ADJ,cantonal,FR,lemmesMotiliteFR
w_FR_BE_2013_14607,FR_BE,BE,2013,14607,Stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2013_17412,FR_BE,BE,2013,17412,de,PRP,de,FR,lemmesMotiliteFR
w_FR_BE_2013_17414,FR_BE,BE,2013,17414,stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2013_17956,FR_BE,BE,2013,17956,B,NAM,B,FR,lemmesMotiliteFR
w_FR_BE_2013_17958,FR_BE,BE,2013,17958,Stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2013_17961,FR_BE,BE,2013,17961,globale,ADJ,global,FR,lemmesMotiliteFR
w_FR_BE_2013_17963,FR_BE,BE,2013,17963,stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2013_18462,FR_BE,BE,2013,18462,dans,PRP,dans,FR,lemmesMotiliteFR
w_FR_BE_2013_18464,FR_BE,BE,2013,18464,stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2013_18644,FR_BE,BE,2013,18644,selon,PRP,selon,FR,lemmesMotiliteFR
w_FR_BE_2013_18646,FR_BE,BE,2013,18646,stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2013_25392,FR_BE,BE,2013,25392,dans,PRP,dans,FR,lemmesMotiliteFR
w_FR_BE_2013_25394,FR_BE,BE,2013,25394,stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2013_67217,FR_BE,BE,2013,67217,démographique,ADJ,démographique,FR,lemmesMotiliteFR
w_FR_BE_2013_67219,FR_BE,BE,2013,67219,Stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2013_69281,FR_BE,BE,2013,69281,base,NOM,base,FR,lemmesMotiliteFR
w_FR_BE_2013_69283,FR_BE,BE,2013,69283,Stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2013_105281,FR_BE,BE,2013,105281,communications,NOM,communication,FR,lemmesMotiliteFR
w_FR_BE_2013_105283,FR_BE,BE,2013,105283,Stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2016_14573,FR_BE,BE,2016,14573,autorités,NOM,autorité,FR,lemmesMotiliteFR
w_FR_BE_2016_14575,FR_BE,BE,2016,14575,Stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2016_17050,FR_BE,BE,2016,17050,.,SENT,.,FR,lemmesMotiliteFR
w_FR_BE_2016_17052,FR_BE,BE,2016,17052,stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2016_23707,FR_BE,BE,2016,23707,dans,PRP,dans,FR,lemmesMotiliteFR
w_FR_BE_2016_23709,FR_BE,BE,2016,23709,stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2016_23929,FR_BE,BE,2016,23929,avenir,NOM,avenir,FR,lemmesMotiliteFR
w_FR_BE_2016_23931,FR_BE,BE,2016,23931,Stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2016_23947,FR_BE,BE,2016,23947,selon,PRP,selon,FR,lemmesMotiliteFR
w_FR_BE_2016_23949,FR_BE,BE,2016,23949,stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2016_23952,FR_BE,BE,2016,23952,globale,ADJ,global,FR,lemmesMotiliteFR
w_FR_BE_2016_23954,FR_BE,BE,2016,23954,stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2016_24462,FR_BE,BE,2016,24462,dans,PRP,dans,FR,lemmesMotiliteFR
w_FR_BE_2016_24464,FR_BE,BE,2016,24464,stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2016_31634,FR_BE,BE,2016,31634,dans,PRP,dans,FR,lemmesMotiliteFR
w_FR_BE_2016_31636,FR_BE,BE,2016,31636,stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2016_77492,FR_BE,BE,2016,77492,démographique,ADJ,démographique,FR,lemmesMotiliteFR
w_FR_BE_2016_77494,FR_BE,BE,2016,77494,Stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2016_78992,FR_BE,BE,2016,78992,base,NOM,base,FR,lemmesMotiliteFR
w_FR_BE_2016_78994,FR_BE,BE,2016,78994,Stratégie,NOM,stratégie,FR,lemmesMotiliteFR
w_FR_BE_2016_125867,FR_BE,BE,2016,125867,de,PRP,de,FR,lemmesMotiliteFR
