lemma,list,count
infrastructure,lemmesAccessibilitéFR,2848
coût,lemmesAccessibilitéFR,1738
accessibilité,lemmesAccessibilitéFR,583
réseau transport,lemmesAccessibilitéFR,413
qualité desserte,lemmesAccessibilitéFR,271
disponibilité transport,lemmesAccessibilitéFR,1
stratégie déplacement,lemmesMotiliteFR,1
heure,lemmesTempsChronoFR,514
kilomètre,lemmesTempsChronoFR,419
durée,lemmesTempsChronoFR,233
cadence,lemmesTempsChronoFR,221
vitesse,lemmesTempsChronoFR,214
minute,lemmesTempsChronoFR,112
retard,lemmesTempsChronoFR,32
rapidité,lemmesTempsChronoFR,27
ralentissement,lemmesTempsChronoFR,14
ponctualité,lemmesTempsChronoFR,2
attente,lemmesTempsVecueFR,246
expérience,lemmesTempsVecueFR,128
agréable,lemmesTempsVecueFR,55
confort,lemmesTempsVecueFR,50
ressentir,lemmesTempsVecueFR,10
