,FR_BE,FR_FR,FR_GE,FR_JU,FR_NE,FR_VD,FR_VS
minute,7.0,7.0,4.0,0.0,5.0,83.0,0.0
heure,82.0,48.0,38.0,0.0,22.0,125.0,3.0
durée,32.0,10.0,3.0,0.0,3.0,26.0,6.0
vitesse,52.0,28.0,12.0,2.0,6.0,83.0,0.0
rapidité,17.0,0.0,1.0,0.0,0.0,0.0,0.0
ponctualité,1.0,0.0,1.0,0.0,0.0,0.0,0.0
retard,0.0,0.0,2.0,0.0,0.0,0.0,0.0
kilomètre,53.0,37.0,14.0,0.0,2.0,189.0,3.0
ralentissement,6.0,1.0,1.0,0.0,0.0,5.0,0.0
cadence,65.0,19.0,7.0,1.0,16.0,90.0,0.0
attente,6.0,6.0,9.0,1.0,1.0,54.0,3.0
stress,0.0,0.0,0.0,0.0,0.0,0.0,0.0
confort,0.0,10.0,3.0,0.0,2.0,9.0,6.0
expérience,7.0,1.0,0.0,0.0,1.0,26.0,2.0
ressentir,6.0,0.0,0.0,0.0,0.0,0.0,0.0
agréable,8.0,1.0,6.0,1.0,0.0,33.0,1.0
satisfaction usager,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temps réappropriable,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temps valoriser,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temps vivre,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bien-être mobilité,0.0,0.0,0.0,0.0,0.0,0.0,0.0
