,FR_FR_BE,FR_FR_FR,FR_FR_GE,FR_FR_JU,FR_FR_NE,FR_FR_VD,FR_FR_VS,DE_DE_AG,DE_DE_AI,DE_DE_AR,DE_DE_BE,DE_DE_BL,DE_DE_BS,DE_DE_GL,DE_DE_LU,DE_DE_NW,DE_DE_OW,DE_DE_SH,DE_DE_SO,DE_DE_SZ,DE_DE_TG,DE_DE_UR,DE_DE_ZG,DE_DE_ZH
accessibilité | erreichbarkeit,44.0,35.0,63.0,3.0,24.0,233.0,23.0,21.0,4.0,14.0,41.0,25.0,57.0,10.0,24.0,5.0,7.0,17.0,2.0,14.0,3.0,7.0,6.0,12.0
qualité desserte | versorgungsqualität,140.0,35.0,7.0,1.0,1.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
intégration transport | verkehrsintegration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coût | kosten,275.0,16.0,5.0,1.0,3.0,305.0,3.0,14.0,10.0,131.0,208.0,112.0,24.0,3.0,10.0,8.0,47.0,16.0,11.0,18.0,7.0,5.0,12.0,2.0
disponibilité transport | verfügbarkeit verkehrsmittel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
infrastructure | infrastruktur,650.0,189.0,149.0,17.0,29.0,707.0,171.0,75.0,18.0,44.0,374.0,42.0,214.0,30.0,83.0,37.0,14.0,37.0,36.0,44.0,18.0,86.0,37.0,42.0
centralité spatial | räumlich zentralität,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inégalité accès | erreichbarkeitsgerechtigkeit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budget mobilité | mobilitätsbudget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
réseau transport | verkehrsnetz,71.0,60.0,45.0,5.0,1.0,200.0,18.0,16.0,9.0,8.0,19.0,7.0,22.0,3.0,2.0,2.0,6.0,10.0,8.0,28.0,4.0,3.0,6.0,3.0
aptitude mobilité | bewegungsfähigkeit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capital mobilité | mobilitätskapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
habitus mobilité | mobilitätshabitus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
autonomie déplacement | bewegungsautonomie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apprentissage mobilité | mobilitätslernen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stratégie déplacement | mobilitätsstrategie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
compétence orientation | orientierungskompetenz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
représentation espace | raumvorstellung,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motivation mobilité | mobilitätsmotivation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
symbolique mobilité | symbolisch mobilität,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
