,FR_BE,FR_FR,FR_GE,FR_JU,FR_NE,FR_VD,FR_VS,DE_AG,DE_AI,DE_AR,DE_BE,DE_BL,DE_BS,DE_GL,DE_LU,DE_NW,DE_OW,DE_SH,DE_SO,DE_SZ,DE_TG,DE_UR,DE_ZG,DE_ZH
minute | minute,7,7,3,0,5,78,0,1,11,9,0,1,5,0,1,0,2,0,0,0,2,0,0,0
heure | stunden,39,18,22,0,10,101,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
durée | dauern,23,7,2,0,1,12,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
vitesse | geschwindigkeit,47,15,13,2,1,80,0,0,0,8,0,1,4,0,0,0,0,0,0,4,0,0,0,0
rapidité | schnelligkeit,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ponctualité | pünktlichkeit,1,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0
retard | verspätung,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
kilomètre | kilometer,16,28,10,0,2,121,3,0,1,0,15,0,1,0,2,1,1,0,2,2,0,0,1,2
ralentissement | verlangsamung,1,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
cadence | taktfrequenz,62,17,4,1,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attente | wartezeit,2,4,7,0,0,13,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
stress | fahrstress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
confort | komfort,0,10,2,0,1,4,6,0,1,0,0,0,4,1,1,1,0,0,0,5,0,0,2,0
expérience | erfahrung,2,1,0,0,0,14,1,2,0,1,8,1,1,0,0,2,2,1,0,1,0,0,0,1
ressentir | wahrnehmung,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1
agréable | angenehm,7,1,5,1,1,21,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2
satisfaction usager | fahrgastzufriedenheit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
temps réappropriable | zeitnutzung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
temps valoriser | bewertet zeit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
temps vivre | leben zeit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bien-être mobilité | wohlfühlmobilität,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
