PCA RESULTS (DE) by year
============================================================

Explained variance:
  PC1: 52.88%
  PC2: 43.58%
  PC3: 3.54%
  PC4: 0.00%

Total variance explained (first 4 PCs): 1.0000

--- DOCUMENT COORDINATES ---
Label	PC1	PC2
2010	0.68213	-0.24580
2023	0.32149	-0.12013
2008	-0.00518	0.56088
2002	0.68213	-0.24580
1987	0.61164	-0.16306
2004	-0.12349	0.22772
2006	0.68213	-0.24580
2012	0.68213	-0.24580
1986	-0.23428	0.82978
2009	-0.23428	0.82978
1996	-0.23428	0.82978
2025	-0.70753	-0.50289
2024	-0.70753	-0.50289
2018	-0.70753	-0.50289
2020	-0.70753	-0.50289

--- TOP WORD LOADINGS ---
Word	PC1	PC2
kosten	0.75684	-0.26746
dauern	-0.15957	0.80812
angenehm	-0.63282	-0.52455
infrastruktur	0.03555	-0.01612

--- HIGHLIGHT WORDS (green) ---
Word	PC1	PC2
