PCA RESULTS (DE) by year – AI
============================================================

Explained variance:
  PC1: 54.27%
  PC2: 37.96%
  PC3: 7.77%
  PC4: 0.00%

Total variance explained (first 4 PCs): 1.0000

--- DOCUMENT COORDINATES ---
Label	PC1	PC2
2011	-0.26259	-0.19105
2002	-0.06818	0.01016
2017	0.35541	-0.11845
2015	-0.02464	0.29934

--- TOP WORD LOADINGS ---
Word	PC1	PC2
Infrastruktur	-0.32341	-0.08461
Minute	0.73958	0.04616
Kosten	-0.28840	0.69960
Verkehrsnetz	-0.25958	-0.38615
Stunde	-0.32737	-0.34058
Erreichbarkeit	0.14188	-0.19508
Erfahrung	-0.02458	0.42690
Komfort	0.23632	-0.11261
Kilometer	0.11816	-0.05631
Geschwindigkeit	-0.01259	0.00268
