PCA RESULTS (DE) by year – LU
============================================================

Explained variance:
  PC1: 100.00%
  PC2: 0.00%

Total variance explained (first 2 PCs): 1.0000

--- DOCUMENT COORDINATES ---
Label	PC1	PC2
2025	0.19962	0.00000
2009	-0.19962	0.00000

--- TOP WORD LOADINGS ---
Word	PC1	PC2
Infrastruktur	0.84796	0.49014
Erreichbarkeit	-0.35342	0.25917
Kosten	-0.36728	0.72285
Kilometer	0.02583	0.01545
Verkehrsnetz	-0.08946	0.26182
Erfahrung	-0.08946	0.26182
Minute	-0.04473	0.13091
Mobilitätsstrategie	0.03528	-0.08832
Komfort	0.03528	-0.08832
