PCA RESULTS (DE) by year – SH
============================================================

Explained variance:
  PC1: 100.00%
  PC2: 0.00%

Total variance explained (first 2 PCs): 1.0000

--- DOCUMENT COORDINATES ---
Label	PC1	PC2
2004	-0.15541	0.00000
2021	0.15541	0.00000

--- TOP WORD LOADINGS ---
Word	PC1	PC2
Infrastruktur	0.15572	-0.15746
Kosten	-0.07390	0.75350
Erreichbarkeit	0.90132	0.27255
Verkehrsnetz	-0.04619	-0.32125
Stunde	-0.14912	0.24830
Erfahrung	-0.14912	0.24830
Wahrnehmung	-0.20982	0.14971
Minute	-0.13988	0.15973
Kilometer	-0.13988	0.15973
Dauer	-0.13988	0.15973
Wartezeit	-0.06994	0.07987
Versorgungsqualität	0.06070	-0.03624
