PCA RESULTS (DE) by year – SZ
============================================================

Explained variance:
  PC1: 61.83%
  PC2: 19.73%
  PC3: 10.82%
  PC4: 4.16%
  PC5: 3.46%
  PC6: 0.00%

Total variance explained (first 6 PCs): 1.0000

--- DOCUMENT COORDINATES ---
Label	PC1	PC2
2008	0.04952	0.19200
2004	0.16825	-0.08832
2010	0.05167	0.07068
2022	-0.22571	-0.02260
2012	-0.25567	-0.06150
1986	0.21194	-0.09025

--- TOP WORD LOADINGS ---
Word	PC1	PC2
Verbesserung	0.40667	0.66048
Zeit	0.61178	-0.64786
verbessern	-0.44483	-0.22796
Kosten	0.28825	-0.07924
optimal	-0.15534	0.02896
Sicherheit	-0.17418	0.05102
Erreichbarkeit	0.02468	0.05980
Einzugsgebiet	0.00693	0.02409
Mobilität	-0.25793	-0.14078
Zugänglichkeit	-0.10592	-0.01285
Geschwindigkeit	0.09437	0.00296
Komfort	0.02132	0.01757
Optimierung	-0.14700	-0.06608
Fahrrad	-0.04324	-0.13149
Verkehrsfluss	-0.07170	0.00614
Leistung	-0.03736	-0.05075
Lebensqualität	-0.01883	0.07281
Stunde	0.00500	0.06184
Kilometer	-0.00866	0.07600
Erfahrung	0.00743	0.01189
