PCA RESULTS FR_Mobility
============================================================

  PC1: 94.32%
  PC2: 4.98%
  PC3: 0.51%
  PC4: 0.13%
  PC5: 0.05%
  PC6: 0.01%
  PC7: 0.00%

--- DOCUMENT COORDINATES ---
Label	PC1	PC2
FR_BE	212.05782	-92.38169
FR_FR	-50.08526	7.21437
FR_GE	-89.44126	27.49891
FR_JU	-166.71547	-5.12989
FR_NE	-159.97600	1.38305
FR_VD	357.84719	60.98165
FR_VS	-103.68703	0.43361

--- TOP WORD LOADINGS ---
Word	PC1	PC2
infrastructure	0.86585	-0.16295
réseau transport	0.24590	0.56647
coût	0.32646	-0.31567
accessibilité	0.20527	0.57490
compétence	0.16272	0.22625
qualité desserte	0.12097	-0.41343
intégration transport	0.00269	0.00987
aptitude	0.00269	0.00987
stratégie déplacement	0.00086	-0.00706
disponibilité transport	0.00086	-0.00706
inégalité accès	-0.00000	0.00000
centralité spatial	-0.00000	0.00000
capital mobilité	-0.00000	0.00000
budget mobilité	-0.00000	0.00000
autonomie déplacement	-0.00000	0.00000
habitus mobilité	-0.00000	0.00000
apprentissage mobilité	-0.00000	0.00000
représentation espace	-0.00000	0.00000
motivation mobilité	-0.00000	0.00000
symbolique mobilité	-0.00000	0.00000
