PCA RESULTS FR_Time
============================================================

  PC1: 93.51%
  PC2: 5.29%
  PC3: 0.71%
  PC4: 0.30%
  PC5: 0.13%
  PC6: 0.06%
  PC7: 0.00%

--- DOCUMENT COORDINATES ---
Label	PC1	PC2
FR_BE	42.49014	49.16475
FR_FR	-9.67596	4.13099
FR_GE	-39.16993	-1.80499
FR_JU	-73.84597	-15.07408
FR_NE	-54.86866	-0.22621
FR_VD	205.27110	-21.00366
FR_VS	-70.20073	-15.18681

--- TOP WORD LOADINGS ---
Word	PC1	PC2
heure	0.43711	0.44513
kilomètre	0.67538	-0.38435
cadence	0.33626	0.40537
vitesse	0.30578	0.26248
minute	0.28555	-0.41317
attente	0.17960	-0.26720
durée	0.10001	0.29110
agréable	0.11406	-0.10093
expérience	0.09209	-0.06846
confort	0.01869	-0.07334
rapidité	0.01159	0.24996
ralentissement	0.02090	0.05763
ressentir	0.00432	0.08841
retard	-0.00133	-0.00108
ponctualité	0.00006	0.01419
stress	-0.00000	-0.00000
satisfaction usager	-0.00000	-0.00000
temps réappropriable	-0.00000	-0.00000
temps valoriser	-0.00000	-0.00000
temps vivre	-0.00000	-0.00000
