PCA RESULTS (FR) by canton
============================================================

Explained variance:
  PC1: 67.41%
  PC2: 19.67%
  PC3: 6.84%
  PC4: 3.89%
  PC5: 1.55%
  PC6: 0.62%
  PC7: 0.00%

Total variance explained (first 7 PCs): 1.0000

--- DOCUMENT COORDINATES ---
Label	PC1	PC2
VD	-0.12684	0.07946
BE	-0.10790	0.16540
GE	0.03180	-0.07878
JU	0.12409	-0.04847
FR	0.01432	-0.04509
VS	0.30595	0.03578
NE	-0.24142	-0.10829

--- TOP WORD LOADINGS ---
Word	PC1	PC2
infrastructure	0.86306	0.21296
coût	-0.37670	0.78864
accessibilité	-0.03652	-0.35461
heure	-0.24899	-0.37669
réseau	0.12343	-0.09677
kilomètre	-0.07131	-0.02630
cadence	-0.13741	-0.12865
durée	-0.06508	-0.05891
vitesse	-0.02326	-0.04353
attente	-0.00716	0.00626
qualité	-0.02841	0.11930
confort	-0.01367	-0.08220
minute	-0.03835	-0.01912
avec	0.02985	-0.04202
agréable	0.00963	-0.02116
expérience	-0.01609	0.04771
par	0.02131	-0.02424
de	0.00266	0.00910
,	0.01903	-0.01736
.	0.01612	-0.02056

--- HIGHLIGHT WORDS (green) ---
Word	PC1	PC2
