PCA RESULTS (FR) by year
============================================================

Explained variance:
  PC1: 46.68%
  PC2: 21.21%
  PC3: 13.78%
  PC4: 8.35%
  PC5: 6.00%
  PC6: 2.04%
  PC7: 1.11%
  PC8: 0.53%
  PC9: 0.16%
  PC10: 0.13%

Total variance explained (first 10 PCs): 0.9998

--- DOCUMENT COORDINATES ---
Label	PC1	PC2
2019	-0.08490	0.03876
2024	-0.03836	0.03196
2011	-0.04469	-0.07032
2016	0.01179	-0.00471
2012	0.01894	-0.01393
2013	0.01656	-0.01434
2022	-0.01805	-0.01766
2008	0.02015	-0.01248
2002	-0.01232	0.04996
2018	-0.02524	-0.01435
2006	0.07923	0.01361
2010	0.07689	0.01350

--- TOP WORD LOADINGS ---
Word	PC1	PC2
transport	0.12619	0.09597
coût	0.71920	-0.32793
desserte	0.16170	0.54950
amélioration	-0.29779	0.17630
améliorer	-0.26027	-0.22842
sécurité	-0.11091	0.11929
temps	0.03720	0.03232
accessibilité	-0.23959	-0.16388
vélo	0.04492	-0.09666
optimal	0.07197	0.24076
efficacité	0.06652	0.03347
par	0.25161	0.07828
heure	0.05340	0.09360
distance	-0.03511	0.15956
kilomètre	0.00553	0.00022
TP	-0.20497	-0.40896
attente	-0.01186	-0.08402
durée	0.00214	0.00427
qualité	-0.05394	-0.07250
cadence	0.02028	-0.10135
