PCA RESULTS (FR) by year – BE
============================================================

Explained variance:
  PC1: 71.24%
  PC2: 19.98%
  PC3: 5.01%
  PC4: 3.12%
  PC5: 0.44%
  PC6: 0.21%
  PC7: 0.00%
  PC8: 0.00%

Total variance explained (first 8 PCs): 1.0000

--- DOCUMENT COORDINATES ---
Label	PC1	PC2
2024	-0.08426	-0.02256
2016	-0.01849	-0.00113
2013	0.00495	0.00922
2012	0.00699	0.01328
2008	0.01004	0.01591
2002	0.05942	-0.04233
2006	0.01439	0.01386
2010	0.00697	0.01375

--- TOP WORD LOADINGS ---
Word	PC1	PC2
transport	0.09283	0.54277
coût	0.63416	0.09017
desserte	-0.50857	0.31377
par	-0.12988	0.49861
optimal	-0.07815	-0.36192
temps	0.16713	0.00282
amélioration	0.15874	-0.01668
efficacité	0.06432	-0.09320
sécurité	-0.10499	-0.11483
vélo	0.09527	-0.04116
heure	0.02476	0.06652
améliorer	0.06943	-0.26126
distance	0.13204	0.05808
tram	-0.15138	0.01349
TP	-0.28804	-0.24495
stratégie	-0.16544	-0.04465
kilomètre	0.11484	0.00470
durée	0.00351	0.01179
percevoir	0.03110	0.00530
optimisation	-0.02984	-0.05564
