PCA RESULTS (FR) by year – VD
============================================================

Explained variance:
  PC1: 67.31%
  PC2: 25.75%
  PC3: 4.41%
  PC4: 1.83%
  PC5: 0.68%
  PC6: 0.03%
  PC7: 0.00%

Total variance explained (first 7 PCs): 1.0000

--- DOCUMENT COORDINATES ---
Label	PC1	PC2
2012	-0.01441	-0.00578
2011	-0.00681	-0.01802
2022	0.05561	-0.00467
2008	-0.03468	-0.01815
2018	0.03921	0.01034
2016	-0.02515	0.04231
2013	-0.01376	-0.00603

--- TOP WORD LOADINGS ---
Word	PC1	PC2
infrastructure	0.85202	-0.35246
coût	-0.36376	-0.26434
accessibilité	0.15622	0.71977
kilomètre	-0.07989	0.27655
réseau	-0.04312	-0.11717
attente	-0.14325	-0.03730
heure	-0.18388	-0.17460
vitesse	-0.02837	-0.08611
cadence	0.12280	0.25709
expérience	-0.07569	0.00562
durée	-0.06138	0.03059
minute	-0.12048	-0.21438
qualité	0.00084	0.01217
agréable	0.00255	0.02272
et	0.00452	0.01192
de	0.00577	0.03085
B@card@	-0.00257	0.06330
sur	0.01078	-0.00445
@card@	-0.03116	-0.05581
par	-0.00372	-0.00127

--- HIGHLIGHT WORDS (green) ---
Word	PC1	PC2
