PCA RESULTS MERGED_Mobility
============================================================

  PC1: 92.98%
  PC2: 3.65%
  PC3: 2.66%
  PC4: 0.61%
  PC5: 0.09%
  PC6: 0.00%
  PC7: 0.00%
  PC8: 0.00%
  PC9: 0.00%
  PC10: 0.00%

--- DOCUMENT COORDINATES ---
Label	PC1	PC2
FR_BE	568.97283	52.68798
FR_FR	48.42143	-57.21861
FR_GE	8.16410	-63.57575
FR_JU	-128.94922	-1.61950
FR_NE	-114.55031	-8.71938
FR_VD	677.38972	-48.04554
FR_VS	14.32906	-48.87882
DE_AG	-67.68519	-14.23311
DE_AI	-123.90097	4.16759
DE_AR	-53.56290	97.86613
DE_BE	274.47974	70.46167
DE_BL	-60.74215	78.74814
DE_BS	66.60010	-53.65371
DE_GL	-115.57483	-4.70505
DE_LU	-64.01292	-16.30080
DE_NW	-108.86581	-0.35291
DE_OW	-113.45331	36.58679
DE_SH	-102.22956	0.00368
DE_SO	-108.10453	1.61850
DE_SZ	-92.79224	-4.59954
DE_TG	-126.07767	3.49066
DE_UR	-66.07572	-15.84871
DE_ZG	-106.48460	1.48447
DE_ZH	-105.29504	-9.36418

--- TOP WORD LOADINGS ---
Word	PC1	PC2
infrastructure | infrastruktur	0.88565	-0.24395
coût | kosten	0.37784	0.85222
accessibilité | erreichbarkeit	0.17660	-0.33856
réseau transport | verkehrsnetz	0.17332	-0.30823
qualité desserte | versorgungsqualität	0.10781	0.06744
stratégie déplacement | mobilitätsstrategie	0.00167	0.00226
intégration transport | verkehrsintegration	0.00135	-0.00377
disponibilité transport | verfügbarkeit verkehrsmittel	0.00044	0.00219
inégalité accès | erreichbarkeitsgerechtigkeit	-0.00000	-0.00000
budget mobilité | mobilitätsbudget	-0.00000	-0.00000
aptitude mobilité | bewegungsfähigkeit	-0.00000	-0.00000
centralité spatial | räumlich zentralität	-0.00000	-0.00000
capital mobilité | mobilitätskapital	-0.00000	-0.00000
habitus mobilité | mobilitätshabitus	-0.00000	-0.00000
autonomie déplacement | bewegungsautonomie	-0.00000	-0.00000
apprentissage mobilité | mobilitätslernen	-0.00000	-0.00000
compétence orientation | orientierungskompetenz	0.00000	-0.00000
représentation espace | raumvorstellung	0.00000	-0.00000
motivation mobilité | mobilitätsmotivation	0.00000	-0.00000
symbolique mobilité | symbolisch mobilität	0.00000	-0.00000
